,Import Capacity (MW)
DE00-PL00 Concept 1,-500.0
DE00-PL00 Concept 2,-500.0
DE00-PL00 Concept 3,-500.0
DE00-SE04,-615.0
DE00-SE04 Concept 1,-500.0
DE00-SE04 Concept 2,-500.0
DE00-SE04 Concept 3,-500.0
DE00-SE04 Real 1,-700.0
DE00-SE04 Real 2,-700.0
DEKF-DKKF,-400.0
DKE1-DKKF,-600.0
DKE1-DKW1,-590.0
DKE1-PL00 Real 1,-600.0
DKE1-SE04,-1300.0
DKE1-SE04 Concept 1,-500.0
DKE1-SE04 Concept 2,-1000.0
DKE1-SE04 Virtual 2,-1000.0
DKW1-NL00,-700.0
DKW1-NOS0,-1640.0
DKW1-SE03,-715.0
DKW1-SE03 Concept 1,-500.0
DKW1-SE03 Concept 2,-1000.0
DKW1-UK00,-1400.0
DKW1-UK00 Real 1,-1400.0
EE00-FI00,-1000.0
EE00-LV00,-900.0
ES00-FR00,-5000.0
ES00-FR00 Concept 1,-1500.0
ES00-FR00 Concept 2,-1500.0
ES00-FR00 Real 1,-1500.0
ES00-FR00 Real 2,-1500.0
ES00-PT00,-3500.0
ES00-PT00 Concept 1,-500.0
ES00-PT00 Concept 2,-500.0
ES00-PT00 Concept 3,-1000.0
FI00-EE00 Concept 1,-500.0
FI00-EE00 Concept 2,-1000.0
FI00-NON1 Concept 2,-1000.0
FI00-SE01,-1200.0
FI00-SE01 Real 1,-800.0
FI00-SE02 Concept 1,-500.0
FI00-SE02 Virtual 1,-500.0
FI00-SE03,-1200.0
FI00-SE03 Concept 2,-1000.0
FR00-BE00 Real 1,-1000.0
FR00-CH00 Real 1,-500.0
FR00-CH00 Real 2,-100.0
FR00-DE00 Real 1,-1500.0
FR00-IT00,-2000.0
FR00-UK00,-4000.0
FR00-UK00 Real 1,-2000.0
FR00-UK00 Real 2,-1400.0
FR15-IT00,-130.0
GR00-GR03,-800.0
GR00-IT00,-500.0
GR00-IT00 Concept 2,-500.0
GR00-IT00 Virtual 2,-500.0
GR00-MA00 Real 1,-2000.0
GR00-MK00,-850.0
GR00-MK00 Concept 1,-500.0
GR00-MK00 Real 1,-500.0
GR00-TR00,-580.0
GR00-TR00 Concept 1,-500.0
GR00-TR00 Concept 2,-500.0
GR00-TR00 Real 1,-600.0
GR00-TR00 Virtual 1,-500.0
GR00-TR00 Virtual 2,-500.0
GR03-GR00 Real 1,-2000.0
HR00-HU00,-1700.0
HR00-RS00,-500.0
HR00-RS00 Real 1,-600.0
HR00-SI00,-2000.0
HR00-SI00 Concept 1,-1000.0
HU00-RO00,-1100.0
HU00-RO00 Real 1,-500.0
HU00-RS00,-750.0
HU00-RS00 Real 1,-500.0
HU00-SI00,-1200.0
HU00-SK00,-2600.0
HU00-SK00 Concept 1,-500.0
HU00-SK00 Concept 2,-500.0
HU00-SK00 Virtual 2,-500.0
HU00-UA01,-650.0
IE00-FR00 Real 1,-700.0
IE00-UK00,-500.0
IE00-UK00 Real 1,-504.0
IE00-UK00 Real 2,-750.0
IE00-UKNI,-1200.0
IT00-AT00 Real 1,-150.0
IT00-CH00 Real 2,-200.0
IT00-ME00,-600.0
IT00-ME00 Real 1,-600.0
IT00-MT00,-200.0
IT00-SI00,-650.0
IT00-SI00 Real 1,-125.0
IT00-SI00 Real 2,-120.0
IT00-SI00 Real 3,-1000.0
LT00-LV00,-950.0
LT00-PL00,-500.0
LT00-PL00 Real 1,-700.0
LT00-SE04,-700.0
MA00-ES00,-600.0
ME00-RS00,-550.0
MK00-AL00 Concept 2,-500.0
MK00-AL00 Real 1,-500.0
MK00-AL00 Virtual 1,-1000.0
MK00-RS00,-540.0
MK00-RS00 Concept 2,-500.0
MK00-RS00 Virtual 2,-500.0
NL00-NOS0,-700.0
NL00-UK00,-1000.0
NL00-UK00 Real 1,-2000.0
NOM1-NON1,-1300.0
NOM1-NOS0,-1400.0
NOM1-SE02,-1000.0
NON1-SE01,-600.0
NON1-SE02,-300.0
NOS0-SE03,-2095.0
NOS0-SE03 Concept 2,-1000.0
NOS0-UK00 Real 1,-1400.0
NOS0-UK00 Real 2,-1400.0
PL00-SE04,-600.0
RO00-RS00,-680.0
RO00-RS00 Real 1,-720.0
RO00-RS00 Real 2,-600.0
RO00-UA01,-150.0
SE01-SE02,-3300.0
SE02-SE03,-8900.0
SE03-SE04,-2800.0
SK00-PL00 Concept 1,-500.0
SK00-PL00 Concept 2,-500.0
SK00-PL00 Virtual 2,-500.0
SK00-UA01,-650.0
TN00-IT00,-600.0
UK00-FR00 Real 1,-1000.0
UK00-NOS0,-1400.0
UK00-UKNI,-500.0
UK00-UKNI Real 1,-700.0
