,Export Capacity (MW)
AL00-GR00,400.0
AL00-ME00,350.0
AL00-ME00 Concept 1,500.0
AL00-ME00 Concept 3,500.0
AL00-MK00,500.0
AL00-RS00,500.0
AL00-RS00 Concept 1,500.0
AT00-CH00,1200.0
AT00-CZ00,900.0
AT00-CZ00 Concept 1,500.0
AT00-DE00,5400.0
AT00-DE00 Real 1,1500.0
AT00-DE00 Real 2,600.0
AT00-DE00 Real 3,1000.0
AT00-HU00,800.0
AT00-HU00 Concept 1,1000.0
AT00-IT00,800.0
AT00-IT00 Real 1,500.0
AT00-IT00 Real 2,150.0
AT00-SI00,950.0
AT00-SI00 Real 1,500.0
BA00-HR00,750.0
BA00-ME00,800.0
BA00-ME00 Concept 1,500.0
BA00-RS00,530.0
BA00-RS00 Real 2,1180.0
BE00-DE00,1000.0
BE00-FR00,2800.0
BE00-FR00 Concept 1,1000.0
BE00-LUB1,380.0
BE00-LUG1,300.0
BE00-NL00,2400.0
BE00-NL00 Real 1,1000.0
BE00-UK00,1000.0
BG00-GR00,1700.0
BG00-MK00,500.0
BG00-RO00,1500.0
BG00-RS00,320.0
BG00-RS00 Real 1,490.0
BG00-TR00,900.0
BG00-TR00 Concept 1,500.0
BG00-TR00 Concept 2,500.0
BG00-TR00 Real 1,1100.0
BG00-TR00 Virtual 1,500.0
BG00-TR00 Virtual 2,500.0
CH00-DE00,4200.0
CH00-DE00 Real 1,600.0
CH00-FR00,1300.0
CH00-FR00 Concept 1,1000.0
CH00-IT00,3750.0
CY00-GR03 Real 1,1000.0
CZ00-DE00,2100.0
CZ00-PL00 Concept 1,500.0
CZ00-PL00 Concept 2,500.0
CZ00-PLI0,600.0
CZ00-SK00,1800.0
CZ00-SK00 Real 1,500.0
DE00-CH00 Real 2,600.0
DE00-DEKF,400.0
DE00-DKE1,600.0
DE00-DKE1 Real 1,600.0
DE00-DKW1,3500.0
DE00-FR00,3300.0
DE00-LUG1,1000.0
DE00-LUV1,1300.0
DE00-NL00,5000.0
DE00-NL00 Real 1,1000.0
DE00-NOS0,1400.0
DE00-PL00 Concept 1,500.0
DE00-PL00 Concept 2,500.0
DE00-PL00 Concept 3,500.0
DE00-PLI0,2000.0
DE00-SE04,615.0
DE00-SE04 Real 1,700.0
DE00-SE04 Real 2,700.0
DEKF-DKKF,400.0
DKE1-DKKF,400.0
DKE1-DKW1,600.0
DKE1-PL00 Real 1,600.0
DKE1-SE04,1700.0
DKE1-SE04 Concept 1,500.0
DKE1-SE04 Concept 2,1000.0
DKW1-NL00,700.0
DKW1-NOS0,1640.0
DKW1-SE03,715.0
DKW1-UK00,1400.0
EE00-FI00,1016.0
EE00-LV00,1100.0
ES00-FR00,5000.0
ES00-FR00 Real 1,1500.0
ES00-FR00 Real 2,1500.0
ES00-PT00,4200.0
ES00-PT00 Concept 1,500.0
FI00-EE00 Concept 2,1000.0
FI00-SE01,1100.0
FI00-SE01 Real 1,900.0
FI00-SE02 Concept 1,500.0
FI00-SE02 Virtual 1,500.0
FI00-SE03,1200.0
FR00-BE00 Real 1,1000.0
FR00-CH00 Real 1,500.0
FR00-CH00 Real 2,1000.0
FR00-DE00 Real 1,1500.0
FR00-IT00,4100.0
FR00-IT00 Concept 1,1000.0
FR00-LUF1,380.0
FR00-UK00,4000.0
FR00-UK00 Real 2,1400.0
FR15-IT00,70.0
GR00-GR03,800.0
GR00-IT00,500.0
GR00-MA00 Real 1,2000.0
GR00-MK00,1100.0
GR00-MK00 Concept 1,500.0
GR00-MK00 Real 1,500.0
GR00-TR00,660.0
GR00-TR00 Concept 1,500.0
GR00-TR00 Concept 2,500.0
GR00-TR00 Real 1,600.0
GR00-TR00 Virtual 1,500.0
GR00-TR00 Virtual 2,500.0
GR03-GR00 Real 1,2000.0
HR00-HU00,1700.0
HR00-RS00,480.0
HR00-RS00 Concept 1,500.0
HR00-RS00 Real 1,600.0
HR00-SI00,2000.0
HU00-RO00,1000.0
HU00-RS00,680.0
HU00-RS00 Real 1,500.0
HU00-SI00,1200.0
HU00-SK00,1800.0
HU00-SK00 Concept 2,500.0
HU00-UA01,450.0
IE00-UK00,500.0
IE00-UK00 Real 1,504.0
IE00-UK00 Real 2,750.0
IE00-UKNI,1250.0
IT00-AT00 Real 1,150.0
IT00-CH00 Real 1,1000.0
IT00-CH00 Real 2,200.0
IT00-IT00HER4 Expansion,1000.0
IT00-ME00,600.0
IT00-MT00,200.0
IT00-SI00,660.0
IT00-SI00 Real 1,125.0
IT00-SI00 Real 2,20.0
LT00-LV00,950.0
LT00-PL00,500.0
LT00-PL00 Real 1,700.0
LT00-SE04,700.0
