,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,ITS1,ITCN,ITCS,ITN1,ITSA,ITSI,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00
t_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008966585209008105,0.01809527350241988,0.08626579347911521,0.0,0.004925555984215685,0.0,0.0,0.1132459828143847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_9,0.02661472348833807,0.0,0.003129629079209261,0.004637018462972457,0.0,0.0,0.04019796291448678,0.003966376498968433,0.04440904597475442,0.05583408211922244,0.2130594908333493,0.03402156583711687,0.05874423249556751,0.02264414145886696,0.1592561516475486,0.2804841618382038,0.0,0.0,0.0,0.0,0.0,0.005709347798796707,0.0,0.0,0.0,0.0,0.0,0.008388234091289599,0.01060361653041673,0.0
t_10,0.05864140445078977,0.09077791623521723,0.02394408278584738,0.04521669002358349,0.06135781168620781,0.008300585169107375,0.1663163396248526,0.0710757161155066,0.08276674945824267,0.06719273028329108,0.3206913768778976,0.08629444538981962,0.1204991690421185,0.06778141620537895,0.3057118688069047,0.4202820502426217,0.06999616056593955,0.07623114113530778,0.0,0.0,0.0,0.03108200877898437,0.168171992513479,0.0,0.0,0.003442605942653759,0.01534562807433397,0.02208331215072333,0.03477170629887985,0.09895089876858369
t_11,0.09060375969275007,0.1442219306335434,0.06042272422451778,0.08841626415465126,0.1097774510397052,0.05189017340758862,0.2955701379949207,0.1407223593696149,0.09176350278269949,0.06745152954623275,0.3745697601245373,0.1203460195737067,0.1485111902593934,0.09941071740465043,0.4285317249581526,0.507077228610675,0.1501063686306407,0.1628121114379024,0.0,0.0,0.01275676167314614,0.0634483713799712,0.3241498831926889,0.0,0.0,0.008333614919025602,0.03510836095995011,0.02793679003624089,0.05374336212039958,0.2565812595248221
t_12,0.1177933444712442,0.1603575537611608,0.09293468604498903,0.1185872409095545,0.1471360940926071,0.1123796375796406,0.3966834437357215,0.1910110872595193,0.07788034287498768,0.06782615226336683,0.3852756555286439,0.1466834396701206,0.1690160202727255,0.114743472178212,0.4979965681501388,0.539083876676305,0.2332017474387353,0.1753584484287831,0.001688737522231306,0.0,0.03809514506872556,0.09989701012494497,0.4451527592943081,0.0,0.001111767829149996,0.0116968125522716,0.05987976283155994,0.03429042059760959,0.06021570320481146,0.3632649202861582
t_13,0.1228750964674718,0.2012582085424606,0.09743542437082697,0.1162562161407293,0.1594881338548512,0.1368889529260487,0.4680750376141396,0.2145293975075284,0.06077574974611459,0.05729857366085308,0.3675474628873616,0.1390115143738923,0.162498466404026,0.121761206592083,0.4953933294367677,0.5165635329077669,0.2159139301335589,0.105613626488321,0.0001200316334341122,0.0,0.083498156850396,0.1284537872673502,0.5150070485272279,0.0,0.0004792893570089264,0.009696099512536029,0.07619721476631135,0.03450552849890423,0.06091769783531013,0.3840608106211273
t_14,0.0957871962698855,0.2386683343019442,0.07747988763333527,0.08834382455489666,0.1287242660164422,0.1029991718102239,0.4713884189961278,0.2035990079398031,0.04032010068296113,0.03855115391535091,0.3031850601189654,0.09019408994327477,0.1224411329508509,0.1109708834848746,0.4325272905363444,0.4389308350214461,0.1859699758089346,0.06675071736718234,0.0,0.0,0.07671269599770614,0.1092440515306023,0.5272100653251819,0.0,0.0,0.003947510086862706,0.05603190163011471,0.0259507045266853,0.04365214465847963,0.3025724501822207
t_15,0.03932584483620762,0.2062990605073126,0.03796768846906955,0.04996506048950426,0.06396932767682155,0.03787456958532009,0.4151109112274812,0.1528030528313147,0.01642639399877853,0.01264661848824688,0.1857413181215269,0.05001024790684027,0.07937800730532328,0.07738067515325918,0.3070805030027217,0.2998805922696556,0.1727077093961619,0.05483276411346297,0.0,0.0,0.002889963892474287,0.0439697833307565,0.4705073392485019,0.0,0.0,0.0,0.003437345836815082,0.01025968168077251,0.01270121424014615,0.1773288198185516
t_16,0.0,0.09561228167221553,0.0,0.007776141480519575,0.0,0.0,0.3135489843835914,0.0767625816834243,0.0,0.0,0.06876766445295239,0.01450413669244766,0.02569304695424173,0.02857401283847052,0.1440500725244976,0.1292481897486827,0.08553246720221527,0.0,0.0,0.0,0.0,0.0,0.3591328441971814,0.0,0.0,0.0,0.0,0.0,0.0,0.06508335175938759
t_17,0.0,0.0,0.0,0.0,0.0,0.0,0.1533156720984587,0.005724982409068623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1998901040451266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02624917351672821,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002057871715620994,0.001641530150090524,0.06487914672480917,0.0,0.001405222451820779,0.0,0.0,0.03317212507991259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005282587255072446,0.0
