,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,ITS1,ITCN,ITCS,ITN1,ITSA,ITSI,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00
t_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004740233175765769,0.05048832731281486,0.0,0.0009131227743521973,0.0,0.0,0.0979959039479432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003876831264731077,0.0
t_9,0.05660046715902563,0.0,0.07988221957770457,0.01030526494481637,0.0,0.0,0.01452886568850046,0.03390140519888181,0.002079915549227208,0.0182659872993641,0.1276846996369576,0.01571037815489235,0.02673013273095951,0.1096157559152004,0.1128114786663978,0.2548010210849781,0.0,0.0,0.0,0.0,0.0,0.04334024485265059,0.0,0.0,0.0,0.0,0.0,0.006295652539424251,0.1124944926637674,0.0
t_10,0.1197530901529386,0.09582053633002152,0.183230692791371,0.05824660855198746,0.1182991050249089,0.1026948578895358,0.09001611887603052,0.1844582674076937,0.006309576169019235,0.03343736021670214,0.1818115219521103,0.05963121370322239,0.0610477664679038,0.2549079106765625,0.2460581071934253,0.3980919725354927,0.07400072981787931,0.1078251190080908,0.0,0.0,0.0001439221570339524,0.1142379551253356,0.09369512449985683,0.0,0.0,0.02894647272876269,0.1130242389966182,0.02567354503018959,0.1697816119638028,0.1047814155911367
t_11,0.1761181356948668,0.1828431638424604,0.2594259564351045,0.1143193407839182,0.2194327013421624,0.2002582707184203,0.1785885543043583,0.3246127382359639,0.01224818832170621,0.04295799636509996,0.2281082892204291,0.1186194041275278,0.08905926813128914,0.3732977079596219,0.32584187076848,0.479656072500796,0.2043759317042304,0.1488554756194366,0.0,0.0,0.08064705247106022,0.1880234150332306,0.2695700084823395,0.0,0.004001693352627582,0.0695034828597757,0.1851771920115118,0.05508425633117475,0.190507681554891,0.2683203289066654
t_12,0.1967276830035413,0.295356404364715,0.2719728339270863,0.1572113429656606,0.2635480223198003,0.2377231849973649,0.2580309619429149,0.4165816624080958,0.01962315379100383,0.04394094220947579,0.2675518014596179,0.1538790925391507,0.1122658992605066,0.4559868011692431,0.3486131020389207,0.5130432522726386,0.343069725239656,0.1574742075123529,0.01006017185782454,0.0,0.1126516978851192,0.2365034984801604,0.4804630627331509,0.0,0.005374449768639438,0.0880846094796639,0.2092957798114046,0.07636754300991119,0.1891947962555585,0.3710759939323506
t_13,0.1735223838015305,0.3860048797340665,0.2484079582597432,0.1653361237646964,0.2417346611058387,0.2160907537992335,0.3108687747129753,0.4428973346154593,0.02219625382123275,0.03366866920931339,0.2660931423529105,0.1253774298972487,0.1010969326849465,0.4765180533746115,0.3173549254089169,0.4879649786045817,0.3695001294199501,0.1458905775055131,0.007511404543243395,0.0,0.1114429265072829,0.2337276016950526,0.589549702877174,0.0,0.002454473859023441,0.07925813922916206,0.1918707489418672,0.06757230472314438,0.1684082651532491,0.4077346411372894
t_14,0.1271309554176624,0.356628182047701,0.1961286538394808,0.138677442595224,0.1662415053992153,0.1495100059588497,0.3298019172188573,0.414417050402677,0.02199932368383021,0.02174649672865926,0.2406085816304171,0.07905565505011349,0.06181931413697889,0.4119409543141557,0.2116726703777239,0.4064846088471142,0.3120008139917697,0.112893237419888,0.0,0.0,0.07482144339878344,0.1740621531977331,0.6037395867234089,0.0,0.0,0.04158263645121683,0.1342106625614514,0.05255668539915211,0.1252265528292313,0.3661086987324558
t_15,0.07621418433901975,0.2534461608027186,0.1122106723007392,0.07949324876428743,0.06115628671715623,0.05126045588364174,0.3132697729946288,0.3328720034677478,0.01499333065540587,0.00860270131195046,0.1694763405352521,0.05528575068227946,0.02886715455290113,0.2875103975509525,0.0960184524576129,0.2824748319771616,0.2197891955472651,0.07108958681399741,0.0,0.0,0.004347680137237186,0.07248159951973596,0.547770868204289,0.0,0.0,0.0,0.008032270516127166,0.03967150754666714,0.06138895405459403,0.2630055936678568
t_16,0.003798456043638289,0.1204864911271936,0.0,0.01139909403642856,0.0,0.0,0.2411445457616646,0.1924621057439271,0.001348451559860081,0.0,0.06456518744387467,0.02127338505857349,0.005810292812890838,0.1247852359806286,0.02597327449720465,0.1246831497711572,0.1089923352884035,0.0,0.0,0.0,0.0,0.0,0.4310571811394843,0.0,0.0,0.0,0.0,0.009353567928115376,0.0,0.1339244303293684
t_17,0.0,0.0,0.0,0.0,0.0,0.0,0.1192626352175471,0.01849782695906983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.250857391497444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0293970273408235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02168651726462513,0.05403179735723448,0.06798384720469595,0.0,0.03706063672278868,0.0,0.0,0.01177650790145367,0.0,0.0,0.0,0.0,0.0,0.0007165254137553891,0.0,0.0,0.0,0.0,0.0,0.0,0.007577026532128424,0.0
