,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,ITS1,ITCN,ITCS,ITN1,ITSA,ITSI,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00
t_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04055041550174594,0.008701923477557232,0.0978139343127737,0.0,0.03597472881713849,0.0,0.0,0.08178680079433773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_9,0.1398198059201718,0.0,0.0405027411517291,0.008695342209889417,0.0,0.0,0.06199498984773157,0.05809293314448423,0.155797861445974,0.05825881550712868,0.2485140061317621,0.2262874868489506,0.2382404328535325,0.1500614475746764,0.1703165439212119,0.235440006302133,0.0,0.0,0.0,0.0,0.0,0.01461466209234819,0.0,0.0,0.0,0.0,0.0,0.2323414024931147,0.1013261415640069,0.0
t_10,0.2412644389026474,0.02076139385840203,0.1189366940921103,0.04511577332868549,0.040079163579695,0.05236311767041118,0.2409223702823783,0.1884675970057761,0.2579332778223003,0.1076925024856852,0.4004072692478081,0.3966809691728471,0.4072437006433592,0.2981563293238103,0.3274805823356448,0.3395670434189865,0.01266613635643612,0.02326421439252429,0.0,0.0,0.0,0.04917884756309136,0.09208730152715291,0.0,0.0,0.002466772729524693,0.02917555374447718,0.3874110276990661,0.1617736155998377,0.005500379404017417
t_11,0.3339603479745304,0.05975223008134815,0.213107991703099,0.08594073081245104,0.0941203738680812,0.1057843550674259,0.389829871758068,0.3055480160542514,0.327360145180229,0.13650673751816,0.4899321491599291,0.4871432755508674,0.5149167496725693,0.3965392492367692,0.4427115899197684,0.3571044178962784,0.02969423851416313,0.07184654375932742,0.000428346164544511,0.0,0.05441591735478715,0.07768508715520087,0.1927536796350789,0.0,0.0,0.01623918637357042,0.06525392847266014,0.4519227992483118,0.1832245411635413,0.02119050156766548
t_12,0.3771148100359757,0.09610739596671138,0.2233306697267641,0.1137461279926283,0.1220954105994251,0.1124869587222704,0.4868967669540071,0.3904903195972345,0.3610762138095156,0.155954836248683,0.4921712384619244,0.5117045648307152,0.5489909673043241,0.435050150577911,0.4837126508735568,0.3333240784854939,0.04442273002939856,0.1051103713507158,0.139044340424328,0.004765459446130516,0.07596289521828264,0.08403861997853876,0.2996713157762873,0.0,0.001006832529292842,0.0250492572609647,0.08532268390771372,0.4570988196021608,0.1751004258308644,0.03531265636861556
t_13,0.3414777751969154,0.1103344059941751,0.17199864590959,0.116550040852408,0.1243911966932517,0.09494508227101,0.5358801335629871,0.4267652258356522,0.3525501643157102,0.1503781260702203,0.4636719621974886,0.4906189436938692,0.5170817151529905,0.4246621038944114,0.4367958850224035,0.2860006139894777,0.05803890672153623,0.1037029584613799,0.1215043334678047,0.001947385611217986,0.06538453203379074,0.07318257539437567,0.4189902653437678,0.0,0.0002132142535313092,0.01946603084428624,0.07834308389870169,0.4310148796606516,0.1384562441314921,0.04277588940779827
t_14,0.2623541448651799,0.08904484788678589,0.1150472847035029,0.09037013533161076,0.1116983341066291,0.05330505304719883,0.512507443945799,0.4030421162232187,0.2832434529001216,0.104636693061114,0.3856921212394865,0.3988652234525953,0.4207505548214433,0.3393851442559662,0.3358792560525207,0.2439727645474165,0.05012503870783856,0.0731063067277903,0.0,0.0,0.03550064101185671,0.04911619627459095,0.454896163966776,0.0,0.0,0.004628083836249118,0.05199257008898824,0.3526235552549637,0.08860481089301875,0.04014163073306451
t_15,0.1565068960724822,0.05314145239409659,0.047174524820765,0.04717086191246874,0.05968658576608336,0.006570674808602253,0.4294211204223001,0.3244277404122727,0.1689780454137791,0.045594208377566,0.2349228826222546,0.2560205759674817,0.2719900820154147,0.1995055053989948,0.230327606061539,0.1876938984142917,0.02918411463878341,0.03356412534251488,0.0,0.0,0.0,0.01343827961419353,0.3696024815627827,0.0,0.0,0.0,0.003889248625908592,0.2213528435981101,0.03418611977661013,0.03051970103293744
t_16,0.004350084967162489,0.01788218328266585,0.0,0.006873704777998805,0.0,0.0,0.313638955089416,0.1933339098587746,0.04615569716800041,0.0,0.08818135031984449,0.1111582082741822,0.1168694176699927,0.07672000494638279,0.1194389424610827,0.0929932113195102,0.006736915378529351,0.0,0.0,0.0,0.0,0.0,0.2391655563358752,0.0,0.0,0.0,0.0,0.03806648736444604,0.0,0.01187984863917283
t_17,0.0,0.0,0.0,0.0,0.0,0.0,0.1504588472145086,0.02316133354951535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09895869515426939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003316640125825139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04729218168741585,0.03215424622487222,0.1149691238637379,0.0,0.03123788392956268,0.0,0.0,0.06337957099536799,0.0,0.0,0.0,0.0,0.0,0.0001212865991115071,0.0,0.0,0.0,0.0,0.0,0.0,0.005334887300610125,0.0
