,AT00,BE00,CZ00,DE00,DKE1,DKW1,ES00,FR00,HR00,HU00,ITS1,ITCN,ITCS,ITN1,ITSA,ITSI,LU00,NL00,NOM1,NON1,NOS0,PL00,PT00,SE01,SE02,SE03,SE04,SI00,SK00,UK00
t_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01111486858159785,0.0179312796410678,0.08626579347911521,0.0,0.004925555984215685,0.0,0.0,0.1132459828143847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_9,0.02661472348833807,0.0,0.003129627298327022,0.004745258234958952,0.0,0.0,0.03965084776608507,0.003965395350519605,0.04917285874250914,0.05563463053420858,0.2130594908333493,0.03402156583711687,0.05874423249556751,0.02264414145886696,0.1592561516475486,0.2804841618382038,0.0,0.0,0.0,0.0,0.0,0.005737892991066911,0.0,0.0,0.0,0.0,0.0,0.008388234091289599,0.01060361653041673,0.0
t_10,0.05864140445078977,0.09077791623521723,0.02394408316777594,0.04572721174330252,0.06135781168620781,0.008300585169107375,0.1658977837922677,0.07110947231143097,0.09060174136737445,0.0670924113798625,0.3206913768778976,0.08629444538981962,0.1204991690421185,0.06778141620537895,0.3057118688069047,0.4202820502426217,0.06999616056593955,0.07623114113530778,0.0,0.0,0.0,0.03108029634665144,0.1677355419753397,0.0,0.0,0.003442605942653759,0.01534562807433397,0.02208331215072333,0.03477170629887985,0.09554033870465506
t_11,0.09060375969275007,0.1442219306335434,0.06042275329392297,0.08919460820266978,0.1097774510397052,0.05189017340758862,0.2949103637727861,0.1404541493455303,0.1009898482531237,0.06743645410232488,0.3745697601245373,0.1203460195737067,0.1485111902593934,0.09941071740465043,0.4285317249581526,0.507077228610675,0.1501063686306407,0.1628121114379024,0.0,0.0,0.01060950650863852,0.06322184850548694,0.3234246010475803,0.0,0.0,0.008333614919025602,0.03510836095995011,0.02793679003624089,0.05374336212039958,0.2529540029656102
t_12,0.1177933444712442,0.1603575537611608,0.09293472418437662,0.1194208628900536,0.1471360940926071,0.1123796375796406,0.395427271807087,0.1908673743182206,0.08497376579232273,0.06788890239133025,0.3852756555286439,0.1466834396701206,0.1690160202727255,0.114743472178212,0.4979965681501388,0.539083876676305,0.2332017474387353,0.1753584484287831,0.001688737522231306,0.0,0.03304758907740019,0.09941797503076269,0.4442463701892509,0.0,0.001111767829149996,0.0116968125522716,0.05987976283155994,0.03429042059760959,0.06021570320481146,0.3605071367958702
t_13,0.1228750964674718,0.2012582085424606,0.0974354523983137,0.1169210323355206,0.1594881338548512,0.1368889529260487,0.4665587718657053,0.2151776900187199,0.06472689972438753,0.05738536569404647,0.3675474628873616,0.1390115143738923,0.162498466404026,0.121761206592083,0.4953933294367677,0.5165635329077669,0.2159139301335589,0.105613626488321,0.0001200316334341122,0.0,0.0631286481898495,0.1279437709676796,0.5139497341973072,0.0,0.0004792893570089264,0.009696099512536029,0.07619721476631135,0.03450552849890423,0.06091769783531013,0.3825219097687347
t_14,0.0957871962698855,0.2386683343019442,0.07747995345589184,0.08865441626796584,0.1287242660164422,0.1029991718102239,0.4699499486881582,0.2045889158251726,0.0428156862285608,0.03857566650084182,0.3031850601189654,0.09019408994327477,0.1224411329508509,0.1109708834848746,0.4325272905363444,0.4389308350214461,0.1859699758089346,0.06675071736718234,0.0,0.0,0.05125072208517623,0.1089025080309312,0.5259672774851349,0.0,0.0,0.003947510086862706,0.05603190163011471,0.0259507045266853,0.04365214465847963,0.3014326244303263
t_15,0.03932584483620762,0.2062990605073126,0.03796775035065598,0.04985955632352412,0.06396932767682155,0.03787456958532009,0.4139928885874334,0.153526806295563,0.01765937753546994,0.01265825481178694,0.1857413181215269,0.05001024790684027,0.07937800730532328,0.07738067515325918,0.3070805030027217,0.2998805922696556,0.1727077093961619,0.05483276411346297,0.0,0.0,0.001643764914219776,0.04396325736793005,0.4691972244031423,0.0,0.0,0.0,0.003437345836815082,0.01025968168077251,0.01270121424014615,0.1755270489040007
t_16,0.0,0.09561228167221553,0.0,0.007632777602440514,0.0,0.0,0.3131415759283762,0.07696381310446747,0.0,0.0,0.06876766445295239,0.01450413669244766,0.02569304695424173,0.02857401283847052,0.1440500725244976,0.1292481897486827,0.08553246720221527,0.0,0.0,0.0,0.0,0.0,0.3580336613391115,0.0,0.0,0.0,0.0,0.0,0.0,0.06350679583954637
t_17,0.0,0.0,0.0,0.0,0.0,0.0,0.1534836216061731,0.005513539251469768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1992612473107541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0261550651185929,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001763890041960852,0.001628779979214607,0.06487914672480917,0.0,0.001405222451820779,0.0,0.0,0.03317212507991259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005282587255072446,0.0
