,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_105,0.034,0.052,0.049,0.073,0.065,0.056,0.046
t_106,0.16,0.301,0.277,0.323,0.304,0.308,0.232
t_107,0.267,0.329,0.186,0.457,0.425,0.436,0.19
t_108,0.243,0.25,0.156,0.11,0.368,0.148,0.264
t_109,0.14,0.135,0.064,0.193,0.248,0.159,0.241
t_110,0.087,0.063,0.034,0.069,0.103,0.055,0.115
t_111,0.088,0.065,0.026,0.038,0.085,0.029,0.101
t_112,0.078,0.051,0.009,0.015,0.042,0.028,0.034
t_113,0.017,0.014,0.007,0.005,0.028,0.016,0.009
t_114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_129,0.022,0.029,0.029,0.039,0.039,0.032,0.028
t_130,0.219,0.234,0.229,0.227,0.18,0.208,0.085
t_131,0.375,0.29,0.209,0.064,0.175,0.125,0.031
t_132,0.42,0.21,0.2,0.073,0.221,0.231,0.035
t_133,0.425,0.308,0.293,0.161,0.292,0.319,0.103
t_134,0.373,0.209,0.212,0.071,0.217,0.249,0.079
t_135,0.322,0.206,0.167,0.044,0.174,0.2,0.039
t_136,0.197,0.113,0.132,0.04,0.078,0.133,0.03
t_137,0.04,0.047,0.019,0.009,0.02,0.01,0.015
t_138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_140,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
