,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_105,0.033,0.049,0.049,0.07,0.058,0.052,0.041
t_106,0.135,0.233,0.222,0.252,0.225,0.236,0.18
t_107,0.208,0.24,0.144,0.312,0.286,0.298,0.148
t_108,0.189,0.179,0.127,0.093,0.231,0.121,0.19
t_109,0.116,0.101,0.058,0.142,0.155,0.122,0.173
t_110,0.076,0.057,0.035,0.066,0.072,0.052,0.09
t_111,0.068,0.054,0.025,0.038,0.056,0.027,0.073
t_112,0.044,0.033,0.009,0.015,0.028,0.023,0.03
t_113,0.012,0.009,0.006,0.004,0.008,0.01,0.009
t_114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_129,0.021,0.028,0.028,0.038,0.037,0.03,0.027
t_130,0.171,0.184,0.186,0.184,0.139,0.167,0.077
t_131,0.265,0.208,0.157,0.055,0.126,0.1,0.03
t_132,0.277,0.143,0.133,0.061,0.145,0.161,0.034
t_133,0.253,0.184,0.169,0.127,0.179,0.21,0.091
t_134,0.203,0.121,0.101,0.068,0.113,0.159,0.066
t_135,0.126,0.093,0.061,0.04,0.079,0.099,0.036
t_136,0.062,0.045,0.042,0.034,0.04,0.054,0.028
t_137,0.017,0.015,0.009,0.007,0.01,0.009,0.012
t_138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_140,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
