,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_105,0.044,0.065,0.063,0.105,0.181,0.072,0.132
t_106,0.235,0.202,0.346,0.417,0.598,0.366,0.326
t_107,0.409,0.381,0.168,0.624,0.428,0.542,0.365
t_108,0.472,0.476,0.11,0.235,0.712,0.526,0.771
t_109,0.494,0.489,0.018,0.132,0.9,0.496,0.686
t_110,0.427,0.327,0.019,0.086,0.474,0.341,0.448
t_111,0.34,0.251,0.024,0.028,0.452,0.251,0.484
t_112,0.222,0.181,0.009,0.008,0.283,0.146,0.086
t_113,0.037,0.033,0.005,0.004,0.027,0.027,0.038
t_114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_129,0.054,0.054,0.033,0.059,0.089,0.057,0.045
t_130,0.481,0.377,0.229,0.272,0.309,0.369,0.191
t_131,0.695,0.55,0.25,0.14,0.401,0.506,0.264
t_132,0.81,0.609,0.163,0.111,0.436,0.613,0.298
t_133,0.738,0.624,0.218,0.203,0.432,0.655,0.305
t_134,0.784,0.555,0.117,0.13,0.408,0.583,0.305
t_135,0.622,0.53,0.142,0.197,0.349,0.514,0.25
t_136,0.281,0.329,0.112,0.1,0.221,0.299,0.16
t_137,0.044,0.066,0.023,0.012,0.032,0.046,0.027
t_138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_140,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
