,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_105,0.028,0.041,0.041,0.058,0.05,0.044,0.036
t_106,0.138,0.243,0.235,0.269,0.241,0.251,0.189
t_107,0.238,0.287,0.17,0.396,0.359,0.373,0.169
t_108,0.227,0.228,0.149,0.106,0.322,0.141,0.239
t_109,0.135,0.128,0.064,0.184,0.224,0.153,0.226
t_110,0.086,0.063,0.035,0.069,0.098,0.056,0.113
t_111,0.087,0.065,0.026,0.039,0.081,0.029,0.099
t_112,0.075,0.05,0.009,0.016,0.041,0.028,0.034
t_113,0.017,0.014,0.007,0.005,0.026,0.015,0.009
t_114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_129,0.019,0.024,0.025,0.034,0.033,0.027,0.025
t_130,0.176,0.191,0.195,0.194,0.147,0.175,0.078
t_131,0.318,0.249,0.186,0.061,0.15,0.113,0.031
t_132,0.371,0.187,0.179,0.071,0.193,0.208,0.036
t_133,0.384,0.279,0.265,0.155,0.264,0.296,0.102
t_134,0.346,0.195,0.193,0.072,0.198,0.237,0.078
t_135,0.3,0.195,0.154,0.044,0.162,0.19,0.039
t_136,0.187,0.108,0.122,0.04,0.075,0.126,0.03
t_137,0.039,0.045,0.018,0.009,0.019,0.01,0.015
t_138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_140,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
