,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_4169,0.81,0.805,0.771,0.78,0.769,0.794,0.778
t_4170,0.592,0.648,0.605,0.607,0.599,0.634,0.611
t_4171,0.396,0.449,0.412,0.393,0.368,0.432,0.385
t_4172,0.171,0.205,0.198,0.167,0.113,0.177,0.105
t_4173,0.005,0.005,0.004,0.002,0.001,0.002,0.0
t_4174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4181,0.002,0.002,0.003,0.004,0.005,0.003,0.003
t_4182,0.035,0.042,0.044,0.051,0.053,0.05,0.04
t_4183,0.102,0.11,0.108,0.124,0.112,0.118,0.117
t_4184,0.17,0.189,0.202,0.219,0.208,0.213,0.211
t_4185,0.277,0.306,0.319,0.322,0.343,0.319,0.329
t_4186,0.437,0.458,0.43,0.419,0.458,0.436,0.48
t_4187,0.619,0.579,0.479,0.513,0.561,0.55,0.624
t_4188,0.751,0.582,0.493,0.551,0.64,0.465,0.731
t_4189,0.749,0.613,0.64,0.636,0.705,0.393,0.776
t_4190,0.677,0.669,0.631,0.462,0.65,0.356,0.605
t_4191,0.534,0.768,0.639,0.309,0.493,0.235,0.398
t_4192,0.489,0.715,0.719,0.489,0.436,0.363,0.403
t_4193,0.437,0.475,0.452,0.401,0.333,0.463,0.325
t_4194,0.363,0.456,0.38,0.183,0.211,0.325,0.21
t_4195,0.288,0.358,0.249,0.098,0.09,0.161,0.165
t_4196,0.106,0.145,0.102,0.048,0.039,0.066,0.061
t_4197,0.003,0.003,0.002,0.001,0.001,0.001,0.0
t_4198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4205,0.002,0.002,0.002,0.002,0.002,0.002,0.002
t_4206,0.038,0.045,0.037,0.028,0.026,0.035,0.039
t_4207,0.072,0.089,0.108,0.092,0.081,0.103,0.106
t_4208,0.122,0.145,0.188,0.162,0.13,0.195,0.184
t_4209,0.284,0.303,0.295,0.253,0.216,0.293,0.315
t_4210,0.456,0.452,0.443,0.448,0.347,0.404,0.456
t_4211,0.62,0.55,0.48,0.465,0.402,0.51,0.603
t_4212,0.754,0.6,0.472,0.463,0.436,0.506,0.696
t_4213,0.852,0.685,0.424,0.514,0.642,0.627,0.789
t_4214,0.926,0.795,0.652,0.775,0.78,0.737,0.855
t_4215,0.929,0.861,0.8,0.86,0.794,0.765,0.853
t_4216,0.878,0.827,0.759,0.791,0.801,0.769,0.758
t_4217,0.773,0.74,0.678,0.698,0.715,0.685,0.651
t_4218,0.623,0.596,0.56,0.569,0.57,0.546,0.559
t_4219,0.419,0.404,0.378,0.384,0.366,0.375,0.336
t_4220,0.169,0.179,0.177,0.157,0.117,0.161,0.083
t_4221,0.003,0.003,0.003,0.002,0.001,0.002,0.0
t_4222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4229,0.002,0.003,0.004,0.005,0.006,0.004,0.003
t_4230,0.038,0.044,0.05,0.053,0.054,0.047,0.044
t_4231,0.07,0.077,0.09,0.098,0.096,0.08,0.097
t_4232,0.12,0.132,0.15,0.172,0.168,0.144,0.158
t_4233,0.284,0.293,0.303,0.312,0.326,0.306,0.318
t_4234,0.462,0.468,0.473,0.481,0.491,0.478,0.487
t_4235,0.634,0.635,0.636,0.638,0.65,0.645,0.644
t_4236,0.781,0.781,0.779,0.777,0.781,0.788,0.779
t_4237,0.892,0.889,0.883,0.888,0.869,0.889,0.884
t_4238,0.948,0.943,0.903,0.929,0.893,0.92,0.93
t_4239,0.951,0.937,0.843,0.916,0.873,0.911,0.905
t_4240,0.898,0.857,0.711,0.848,0.785,0.858,0.867
t_4241,0.796,0.713,0.541,0.671,0.665,0.754,0.76
t_4242,0.644,0.583,0.414,0.502,0.489,0.596,0.583
t_4243,0.437,0.392,0.263,0.217,0.222,0.406,0.368
t_4244,0.173,0.163,0.087,0.045,0.054,0.142,0.094
t_4245,0.003,0.003,0.002,0.001,0.001,0.002,0.0
t_4246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4250,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4253,0.001,0.003,0.003,0.004,0.005,0.003,0.003
t_4254,0.033,0.04,0.047,0.046,0.049,0.045,0.037
t_4255,0.058,0.066,0.086,0.109,0.099,0.093,0.065
t_4256,0.116,0.133,0.151,0.165,0.175,0.172,0.136
t_4257,0.282,0.295,0.305,0.314,0.327,0.314,0.306
t_4258,0.462,0.471,0.475,0.483,0.493,0.48,0.483
t_4259,0.636,0.633,0.635,0.642,0.65,0.625,0.651
t_4260,0.789,0.764,0.778,0.785,0.787,0.742,0.796
t_4261,0.899,0.871,0.874,0.866,0.856,0.838,0.903
t_4262,0.952,0.922,0.889,0.894,0.844,0.917,0.95
t_4263,0.952,0.928,0.754,0.831,0.645,0.941,0.947
t_4264,0.902,0.857,0.717,0.645,0.557,0.86,0.881
t_4265,0.791,0.749,0.527,0.477,0.57,0.663,0.733
t_4266,0.634,0.59,0.299,0.521,0.446,0.475,0.475
t_4267,0.429,0.406,0.284,0.4,0.31,0.365,0.273
t_4268,0.179,0.185,0.183,0.184,0.112,0.17,0.088
t_4269,0.004,0.005,0.004,0.003,0.001,0.003,0.0
t_4270,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4271,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4277,0.001,0.003,0.004,0.005,0.005,0.004,0.003
t_4278,0.037,0.042,0.047,0.049,0.049,0.045,0.04
t_4279,0.071,0.072,0.078,0.082,0.09,0.075,0.071
t_4280,0.12,0.134,0.153,0.16,0.172,0.145,0.138
t_4281,0.288,0.298,0.305,0.312,0.323,0.307,0.306
t_4282,0.467,0.473,0.474,0.479,0.471,0.479,0.483
t_4283,0.641,0.633,0.614,0.623,0.567,0.625,0.651
t_4284,0.79,0.717,0.725,0.691,0.441,0.727,0.776
t_4285,0.901,0.813,0.717,0.549,0.333,0.707,0.783
t_4286,0.94,0.797,0.486,0.323,0.435,0.537,0.668
t_4287,0.915,0.643,0.458,0.454,0.354,0.528,0.609
t_4288,0.802,0.651,0.477,0.388,0.26,0.493,0.705
t_4289,0.66,0.559,0.401,0.217,0.129,0.451,0.509
t_4290,0.509,0.435,0.284,0.164,0.07,0.202,0.324
t_4291,0.327,0.345,0.236,0.076,0.034,0.084,0.193
t_4292,0.134,0.154,0.104,0.013,0.014,0.03,0.028
t_4293,0.003,0.003,0.002,0.001,0.001,0.001,0.0
t_4294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4299,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4301,0.001,0.002,0.001,0.001,0.003,0.002,0.003
t_4302,0.033,0.029,0.027,0.022,0.034,0.036,0.037
t_4303,0.082,0.074,0.067,0.071,0.085,0.09,0.064
t_4304,0.153,0.15,0.126,0.141,0.162,0.17,0.131
t_4305,0.292,0.262,0.171,0.211,0.287,0.288,0.297
t_4306,0.449,0.35,0.228,0.332,0.412,0.402,0.472
t_4307,0.605,0.512,0.35,0.405,0.524,0.547,0.638
t_4308,0.743,0.647,0.335,0.446,0.587,0.653,0.781
t_4309,0.84,0.762,0.47,0.57,0.62,0.673,0.877
t_4310,0.896,0.811,0.653,0.648,0.728,0.715,0.882
t_4311,0.888,0.852,0.762,0.731,0.736,0.756,0.876
t_4312,0.831,0.81,0.727,0.773,0.654,0.778,0.812
t_4313,0.7,0.696,0.679,0.646,0.495,0.73,0.725
t_4314,0.569,0.551,0.535,0.543,0.377,0.572,0.551
t_4315,0.374,0.401,0.373,0.378,0.295,0.379,0.359
t_4316,0.14,0.173,0.153,0.177,0.099,0.126,0.095
t_4317,0.003,0.003,0.002,0.001,0.001,0.001,0.0
t_4318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4320,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4321,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4325,0.001,0.002,0.003,0.004,0.005,0.003,0.003
t_4326,0.037,0.041,0.043,0.046,0.044,0.041,0.038
t_4327,0.07,0.069,0.069,0.07,0.07,0.066,0.066
t_4328,0.119,0.127,0.137,0.14,0.144,0.133,0.133
t_4329,0.277,0.283,0.292,0.297,0.306,0.293,0.295
t_4330,0.45,0.454,0.46,0.467,0.478,0.465,0.468
t_4331,0.616,0.619,0.621,0.629,0.637,0.628,0.632
t_4332,0.758,0.761,0.761,0.766,0.768,0.766,0.77
t_4333,0.86,0.857,0.859,0.86,0.846,0.86,0.874
t_4334,0.909,0.891,0.916,0.899,0.908,0.907,0.924
t_4335,0.903,0.879,0.909,0.915,0.895,0.897,0.911
t_4336,0.857,0.832,0.857,0.864,0.823,0.838,0.835
t_4337,0.756,0.737,0.757,0.755,0.715,0.746,0.734
t_4338,0.59,0.598,0.604,0.603,0.561,0.607,0.57
t_4339,0.376,0.409,0.392,0.395,0.359,0.406,0.344
t_4340,0.157,0.178,0.15,0.162,0.129,0.159,0.094
t_4341,0.003,0.003,0.002,0.001,0.001,0.001,0.0
t_4342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4346,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4349,0.001,0.002,0.003,0.004,0.004,0.003,0.003
t_4350,0.031,0.039,0.047,0.049,0.048,0.044,0.038
t_4351,0.056,0.066,0.08,0.08,0.079,0.074,0.066
t_4352,0.112,0.12,0.139,0.145,0.15,0.137,0.135
t_4353,0.273,0.28,0.293,0.301,0.309,0.295,0.297
t_4354,0.448,0.454,0.461,0.469,0.48,0.466,0.469
t_4355,0.618,0.621,0.623,0.63,0.642,0.63,0.634
t_4356,0.767,0.762,0.761,0.767,0.778,0.77,0.774
t_4357,0.873,0.865,0.863,0.868,0.877,0.872,0.873
t_4358,0.922,0.918,0.924,0.926,0.931,0.928,0.918
t_4359,0.923,0.922,0.924,0.926,0.925,0.928,0.907
t_4360,0.869,0.87,0.868,0.868,0.868,0.871,0.818
t_4361,0.759,0.763,0.759,0.758,0.753,0.762,0.699
t_4362,0.599,0.609,0.606,0.605,0.6,0.604,0.546
t_4363,0.374,0.414,0.415,0.409,0.393,0.414,0.279
t_4364,0.098,0.147,0.167,0.172,0.141,0.145,0.055
t_4365,0.002,0.002,0.002,0.001,0.001,0.001,0.0
t_4366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4369,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4370,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4373,0.001,0.002,0.003,0.003,0.004,0.002,0.001
t_4374,0.037,0.044,0.048,0.05,0.05,0.047,0.034
t_4375,0.081,0.088,0.084,0.084,0.088,0.098,0.084
t_4376,0.138,0.142,0.144,0.153,0.161,0.164,0.167
t_4377,0.289,0.291,0.295,0.303,0.311,0.303,0.304
t_4378,0.451,0.457,0.461,0.468,0.476,0.466,0.442
t_4379,0.61,0.608,0.619,0.627,0.631,0.62,0.524
t_4380,0.744,0.718,0.75,0.755,0.758,0.735,0.61
t_4381,0.844,0.813,0.82,0.826,0.83,0.829,0.711
t_4382,0.885,0.859,0.889,0.872,0.837,0.804,0.846
t_4383,0.877,0.829,0.837,0.816,0.782,0.678,0.863
t_4384,0.789,0.737,0.81,0.748,0.717,0.489,0.774
t_4385,0.595,0.556,0.685,0.602,0.539,0.3,0.582
t_4386,0.408,0.343,0.5,0.387,0.332,0.135,0.411
t_4387,0.191,0.158,0.209,0.149,0.195,0.067,0.238
t_4388,0.057,0.042,0.027,0.037,0.053,0.026,0.041
t_4389,0.002,0.002,0.002,0.001,0.0,0.001,0.0
t_4390,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4397,0.0,0.001,0.001,0.001,0.002,0.002,0.001
t_4398,0.016,0.016,0.022,0.021,0.05,0.024,0.048
t_4399,0.074,0.031,0.042,0.064,0.104,0.044,0.099
t_4400,0.153,0.041,0.044,0.043,0.143,0.051,0.173
t_4401,0.281,0.065,0.056,0.045,0.134,0.088,0.317
t_4402,0.429,0.115,0.074,0.072,0.137,0.202,0.471
t_4403,0.574,0.223,0.227,0.234,0.151,0.322,0.604
t_4404,0.684,0.404,0.317,0.347,0.209,0.339,0.702
t_4405,0.791,0.615,0.363,0.417,0.336,0.339,0.74
t_4406,0.836,0.735,0.494,0.36,0.357,0.391,0.654
t_4407,0.821,0.74,0.606,0.547,0.318,0.619,0.511
t_4408,0.685,0.723,0.519,0.449,0.342,0.589,0.471
t_4409,0.34,0.597,0.509,0.219,0.283,0.539,0.43
t_4410,0.201,0.368,0.405,0.21,0.22,0.453,0.389
t_4411,0.143,0.183,0.245,0.119,0.136,0.297,0.209
t_4412,0.078,0.063,0.101,0.048,0.04,0.112,0.055
t_4413,0.002,0.002,0.001,0.001,0.0,0.001,0.0
t_4414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4420,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4421,0.0,0.001,0.002,0.003,0.004,0.003,0.002
t_4422,0.036,0.023,0.038,0.052,0.04,0.034,0.043
t_4423,0.076,0.079,0.088,0.107,0.089,0.083,0.085
t_4424,0.123,0.145,0.183,0.188,0.165,0.177,0.142
t_4425,0.276,0.277,0.299,0.306,0.311,0.287,0.298
t_4426,0.447,0.44,0.445,0.457,0.445,0.444,0.465
t_4427,0.603,0.6,0.545,0.529,0.451,0.549,0.619
t_4428,0.718,0.699,0.62,0.576,0.354,0.611,0.734
t_4429,0.811,0.735,0.731,0.753,0.445,0.74,0.825
t_4430,0.84,0.732,0.734,0.761,0.477,0.815,0.869
t_4431,0.816,0.827,0.782,0.79,0.69,0.641,0.849
t_4432,0.744,0.795,0.738,0.756,0.746,0.611,0.797
t_4433,0.434,0.683,0.67,0.641,0.609,0.572,0.691
t_4434,0.438,0.393,0.58,0.555,0.493,0.482,0.491
t_4435,0.304,0.191,0.289,0.343,0.317,0.328,0.321
t_4436,0.116,0.08,0.08,0.061,0.088,0.104,0.09
t_4437,0.002,0.002,0.002,0.001,0.0,0.001,0.0
t_4438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4440,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4441,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_4445,0.0,0.001,0.002,0.002,0.001,0.002,0.002
t_4446,0.022,0.021,0.039,0.046,0.03,0.039,0.038
t_4447,0.063,0.056,0.067,0.074,0.08,0.08,0.095
t_4448,0.128,0.079,0.098,0.139,0.135,0.107,0.138
t_4449,0.242,0.143,0.085,0.142,0.243,0.086,0.112
t_4450,0.266,0.252,0.105,0.107,0.237,0.099,0.184
t_4451,0.349,0.295,0.16,0.105,0.224,0.24,0.382
t_4452,0.474,0.247,0.232,0.226,0.138,0.296,0.552
t_4453,0.532,0.291,0.314,0.378,0.173,0.258,0.684
t_4454,0.515,0.315,0.36,0.361,0.276,0.161,0.77
t_4455,0.455,0.286,0.35,0.242,0.295,0.064,0.613
t_4456,0.391,0.315,0.235,0.116,0.171,0.133,0.19
t_4457,0.261,0.225,0.275,0.207,0.167,0.249,0.26
t_4458,0.218,0.176,0.216,0.262,0.204,0.252,0.372
t_4459,0.126,0.143,0.085,0.141,0.179,0.072,0.235
t_4460,0.045,0.06,0.016,0.039,0.068,0.035,0.089
t_4461,0.003,0.002,0.001,0.001,0.0,0.001,0.0
t_4462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
