,CH_01,CH_02,CH_03,CH_04,CH_05,CH_06,CH_07
t_90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_105,0.022,0.03,0.0305,0.042,0.036000000000000004,0.032,0.029
t_106,0.0995,0.14200000000000002,0.1375,0.1515,0.1385,0.143,0.125
t_107,0.16599999999999998,0.177,0.11249999999999999,0.2105,0.20149999999999998,0.205,0.122
t_108,0.1735,0.1595,0.119,0.0885,0.201,0.11349999999999999,0.173
t_109,0.1155,0.1005,0.058,0.142,0.1555,0.122,0.173
t_110,0.078,0.057999999999999996,0.035,0.0665,0.0775,0.053,0.095
t_111,0.07450000000000001,0.057999999999999996,0.025500000000000002,0.0385,0.065,0.028,0.08249999999999999
t_112,0.057999999999999996,0.0405,0.009,0.0155,0.034,0.025,0.032
t_113,0.015,0.012,0.006500000000000001,0.0045000000000000005,0.0195,0.013000000000000001,0.0095
t_114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_122,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_129,0.016,0.02,0.0205,0.0265,0.0265,0.022,0.023
t_130,0.113,0.1205,0.123,0.1205,0.0965,0.115,0.067
t_131,0.19,0.153,0.1195,0.0485,0.099,0.083,0.028999999999999998
t_132,0.23750000000000002,0.1255,0.115,0.057999999999999996,0.1285,0.14350000000000002,0.0335
t_133,0.2485,0.1815,0.167,0.127,0.18,0.209,0.091
t_134,0.2295,0.135,0.11850000000000001,0.0685,0.1315,0.175,0.0685
t_135,0.1845,0.1275,0.093,0.041499999999999995,0.10900000000000001,0.1305,0.037
t_136,0.118,0.0735,0.078,0.036500000000000005,0.055999999999999994,0.087,0.028999999999999998
t_137,0.0305,0.0335,0.014499999999999999,0.008,0.0155,0.0095,0.014
t_138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t_140,0.0,0.0,0.0,0.0,0.0,0.0,0.0
