index,week,MWh
AL00_Dam_upper_node,w1,739.8639561199465
AL00_Dam_upper_node,w2,1146.3925440471703
AL00_Dam_upper_node,w3,1236.0110379191376
AL00_Dam_upper_node,w4,885.5054575053912
AL00_Dam_upper_node,w5,625.1373852021566
AL00_Dam_upper_node,w6,1358.3213227695423
AL00_Dam_upper_node,w7,706.5676662048518
AL00_Dam_upper_node,w8,609.3898825997303
AL00_Dam_upper_node,w9,527.1413909150945
AL00_Dam_upper_node,w10,878.7277421549869
AL00_Dam_upper_node,w11,1244.9258707223719
AL00_Dam_upper_node,w12,922.3066200431267
AL00_Dam_upper_node,w13,1619.6663630512132
AL00_Dam_upper_node,w14,789.7015351199464
AL00_Dam_upper_node,w15,737.4215361738546
AL00_Dam_upper_node,w16,603.9432861199465
AL00_Dam_upper_node,w17,591.7006561401619
AL00_Dam_upper_node,w18,438.3594258746631
AL00_Dam_upper_node,w19,534.8166955956874
AL00_Dam_upper_node,w20,584.9595770889488
AL00_Dam_upper_node,w21,765.014775514825
AL00_Dam_upper_node,w22,752.5340095902964
AL00_Dam_upper_node,w23,303.70270819676557
AL00_Dam_upper_node,w24,484.649389902965
AL00_Dam_upper_node,w25,527.7275717021564
AL00_Dam_upper_node,w26,520.1438577695419
AL00_Dam_upper_node,w27,531.7514585633425
AL00_Dam_upper_node,w28,551.1809092345014
AL00_Dam_upper_node,w29,545.0504351698115
AL00_Dam_upper_node,w30,502.7904640525607
AL00_Dam_upper_node,w31,496.55008109029654
AL00_Dam_upper_node,w32,533.4794706752023
AL00_Dam_upper_node,w33,526.0300898396227
AL00_Dam_upper_node,w34,519.1058292924529
AL00_Dam_upper_node,w35,525.2301973072778
AL00_Dam_upper_node,w36,547.199764722372
AL00_Dam_upper_node,w37,510.75885912668474
AL00_Dam_upper_node,w38,816.4093972304584
AL00_Dam_upper_node,w39,515.2712299770891
AL00_Dam_upper_node,w40,671.4945157789756
AL00_Dam_upper_node,w41,594.2041365849057
AL00_Dam_upper_node,w42,453.7649896846362
AL00_Dam_upper_node,w43,480.80257848787073
AL00_Dam_upper_node,w44,561.1276644649597
AL00_Dam_upper_node,w45,410.74786838409716
AL00_Dam_upper_node,w46,337.5729667991914
AL00_Dam_upper_node,w47,979.0928837897578
AL00_Dam_upper_node,w48,1681.9602837762802
AL00_Dam_upper_node,w49,2509.928433401618
AL00_Dam_upper_node,w50,2246.5012301159027
AL00_Dam_upper_node,w51,2826.4904826145553
AL00_Dam_upper_node,w52,1353.1983469326146
AT00_Dam_upper_node,w1,66.72494525623851
AT00_Dam_upper_node,w2,65.50318194139649
AT00_Dam_upper_node,w3,64.06751706875679
AT00_Dam_upper_node,w4,63.13199351488143
AT00_Dam_upper_node,w5,62.38506156474798
AT00_Dam_upper_node,w6,61.703954917093334
AT00_Dam_upper_node,w7,62.242903029602154
AT00_Dam_upper_node,w8,64.95226434703333
AT00_Dam_upper_node,w9,69.11284869497487
AT00_Dam_upper_node,w10,73.45508779503851
AT00_Dam_upper_node,w11,78.80865766509626
AT00_Dam_upper_node,w12,85.96133174703803
AT00_Dam_upper_node,w13,94.31695716592012
AT00_Dam_upper_node,w14,102.77903845532781
AT00_Dam_upper_node,w15,117.4038227092291
AT00_Dam_upper_node,w16,154.62518449960672
AT00_Dam_upper_node,w17,214.44312382646066
AT00_Dam_upper_node,w18,280.42376611780804
AT00_Dam_upper_node,w19,344.815583090923
AT00_Dam_upper_node,w20,397.4500927091174
AT00_Dam_upper_node,w21,434.96806429955694
AT00_Dam_upper_node,w22,465.540599498866
AT00_Dam_upper_node,w23,495.69370215212206
AT00_Dam_upper_node,w24,516.7489463099943
AT00_Dam_upper_node,w25,518.0029690367371
AT00_Dam_upper_node,w26,503.8560417614904
AT00_Dam_upper_node,w27,487.62790502651546
AT00_Dam_upper_node,w28,470.9504697997165
AT00_Dam_upper_node,w29,452.6256067695614
AT00_Dam_upper_node,w30,432.6533159360502
AT00_Dam_upper_node,w31,412.23172661071465
AT00_Dam_upper_node,w32,391.3836884450021
AT00_Dam_upper_node,w33,365.71677838302924
AT00_Dam_upper_node,w34,332.8428829186852
AT00_Dam_upper_node,w35,295.91772347076
AT00_Dam_upper_node,w36,258.8023930040361
AT00_Dam_upper_node,w37,224.38431049993002
AT00_Dam_upper_node,w38,197.41247664476026
AT00_Dam_upper_node,w39,177.05696898849084
AT00_Dam_upper_node,w40,157.99245181005566
AT00_Dam_upper_node,w41,139.85354112063476
AT00_Dam_upper_node,w42,126.45836368741227
AT00_Dam_upper_node,w43,118.40195225332589
AT00_Dam_upper_node,w44,112.27939723378744
AT00_Dam_upper_node,w45,106.16954813912179
AT00_Dam_upper_node,w46,99.98706655826675
AT00_Dam_upper_node,w47,93.67537560724327
AT00_Dam_upper_node,w48,87.27729022527869
AT00_Dam_upper_node,w49,80.87857260960756
AT00_Dam_upper_node,w50,75.3004100591325
AT00_Dam_upper_node,w51,71.98754055189072
AT00_Dam_upper_node,w52,70.72865878750821
AT00_Dam_upper_node,w53,10.058093051470166
BA00_Dam_upper_node,w1,277.8392857142857
BA00_Dam_upper_node,w2,226.11309523809524
BA00_Dam_upper_node,w3,249.64285714285714
