index,week,MWh
AL00_Dam_upper_node,w1,823.8343538665769
AL00_Dam_upper_node,w2,571.4041463881402
AL00_Dam_upper_node,w3,463.0950338787064
AL00_Dam_upper_node,w4,762.4380224716982
AL00_Dam_upper_node,w5,591.1755358517521
AL00_Dam_upper_node,w6,998.3941074137465
AL00_Dam_upper_node,w7,1364.7387811778976
AL00_Dam_upper_node,w8,1063.2892053814019
AL00_Dam_upper_node,w9,1343.758393840971
AL00_Dam_upper_node,w10,511.8640541522912
AL00_Dam_upper_node,w11,461.1410979218331
AL00_Dam_upper_node,w12,1291.1975166010786
AL00_Dam_upper_node,w13,1168.9910345983826
AL00_Dam_upper_node,w14,1051.6571803881404
AL00_Dam_upper_node,w15,429.3102599743936
AL00_Dam_upper_node,w16,324.8907012291106
AL00_Dam_upper_node,w17,441.2781177102427
AL00_Dam_upper_node,w18,560.7063470242588
AL00_Dam_upper_node,w19,685.2941884743935
AL00_Dam_upper_node,w20,619.75795527089
AL00_Dam_upper_node,w21,546.3998721900272
AL00_Dam_upper_node,w22,511.1313281684637
AL00_Dam_upper_node,w23,575.3852909002696
AL00_Dam_upper_node,w24,600.5116860956875
AL00_Dam_upper_node,w25,606.9840989528304
AL00_Dam_upper_node,w26,586.5288319043129
AL00_Dam_upper_node,w27,567.5695470727763
AL00_Dam_upper_node,w28,556.871747708895
AL00_Dam_upper_node,w29,556.206188273585
AL00_Dam_upper_node,w30,546.131205995957
AL00_Dam_upper_node,w31,531.6110194164421
AL00_Dam_upper_node,w32,574.7807919636119
AL00_Dam_upper_node,w33,540.8677910121295
AL00_Dam_upper_node,w34,516.2787282048519
AL00_Dam_upper_node,w35,509.50711890431273
AL00_Dam_upper_node,w36,401.4056120902966
AL00_Dam_upper_node,w37,422.83784711725076
AL00_Dam_upper_node,w38,418.4598093638814
AL00_Dam_upper_node,w39,417.62938658221026
AL00_Dam_upper_node,w40,349.7606423301887
AL00_Dam_upper_node,w41,432.5220422035041
AL00_Dam_upper_node,w42,520.2415545673855
AL00_Dam_upper_node,w43,773.1297157857142
AL00_Dam_upper_node,w44,620.6372264514828
AL00_Dam_upper_node,w45,636.2809262061994
AL00_Dam_upper_node,w46,1383.4782482142857
AL00_Dam_upper_node,w47,846.5610714649596
AL00_Dam_upper_node,w48,1010.447449847709
AL00_Dam_upper_node,w49,967.1738744528302
AL00_Dam_upper_node,w50,1043.878072859838
AL00_Dam_upper_node,w51,694.6791871172505
AL00_Dam_upper_node,w52,811.9214505795148
AT00_Dam_upper_node,w1,76.21705234498828
AT00_Dam_upper_node,w2,75.37761975730243
AT00_Dam_upper_node,w3,73.63050330580042
AT00_Dam_upper_node,w4,71.27768372252119
AT00_Dam_upper_node,w5,68.7096288153194
AT00_Dam_upper_node,w6,66.22809239438357
AT00_Dam_upper_node,w7,65.42535995741108
AT00_Dam_upper_node,w8,67.60913144980506
AT00_Dam_upper_node,w9,71.78979610207125
AT00_Dam_upper_node,w10,76.37396498672393
AT00_Dam_upper_node,w11,85.26710631879125
AT00_Dam_upper_node,w12,101.8256828467858
AT00_Dam_upper_node,w13,123.5096687069682
AT00_Dam_upper_node,w14,145.6472306142469
AT00_Dam_upper_node,w15,168.43827478682172
AT00_Dam_upper_node,w16,193.62542059881542
AT00_Dam_upper_node,w17,221.20866805022803
AT00_Dam_upper_node,w18,249.4453977669367
AT00_Dam_upper_node,w19,277.34803315395754
AT00_Dam_upper_node,w20,302.7783705012876
AT00_Dam_upper_node,w21,325.03003894044394
AT00_Dam_upper_node,w22,345.82123788125
AT00_Dam_upper_node,w23,366.45850971638635
AT00_Dam_upper_node,w24,382.66853925800234
AT00_Dam_upper_node,w25,389.24280616078045
AT00_Dam_upper_node,w26,388.3225910111295
AT00_Dam_upper_node,w27,386.38960801655554
AT00_Dam_upper_node,w28,383.20924392477366
AT00_Dam_upper_node,w29,375.45514914322905
AT00_Dam_upper_node,w30,363.1273236719217
AT00_Dam_upper_node,w31,349.5521171034063
AT00_Dam_upper_node,w32,336.0304616827795
AT00_Dam_upper_node,w33,323.11393423329343
AT00_Dam_upper_node,w34,311.1024211831241
AT00_Dam_upper_node,w35,299.5996440378959
AT00_Dam_upper_node,w36,288.1009838254432
AT00_Dam_upper_node,w37,273.95126259624834
AT00_Dam_upper_node,w38,252.48280026955175
AT00_Dam_upper_node,w39,224.5113079274284
AT00_Dam_upper_node,w40,195.27093167985618
AT00_Dam_upper_node,w41,167.3886684128647
AT00_Dam_upper_node,w42,146.46673417135
AT00_Dam_upper_node,w43,133.37820158568553
AT00_Dam_upper_node,w44,123.12715504873458
AT00_Dam_upper_node,w45,112.96334806380119
AT00_Dam_upper_node,w46,103.9963042345034
AT00_Dam_upper_node,w47,97.15823907154679
AT00_Dam_upper_node,w48,91.74369218845155
AT00_Dam_upper_node,w49,86.46121644299024
AT00_Dam_upper_node,w50,81.89198072602287
AT00_Dam_upper_node,w51,79.29177517318803
AT00_Dam_upper_node,w52,78.46425093833494
AT00_Dam_upper_node,w53,11.18335929586232
BA00_Dam_upper_node,w1,167.91666666666666
BA00_Dam_upper_node,w2,150.4404761904762
BA00_Dam_upper_node,w3,147.29166666666666
BA00_Dam_upper_node,w4,105.82142857142857
BA00_Dam_upper_node,w5,193.44047619047618
BA00_Dam_upper_node,w6,223.25595238095238
BA00_Dam_upper_node,w7,183.5654761904762
BA00_Dam_upper_node,w8,240.01785714285714
BA00_Dam_upper_node,w9,256.4761904761905
BA00_Dam_upper_node,w10,237.6845238095238
BA00_Dam_upper_node,w11,217.91071428571428
BA00_Dam_upper_node,w12,238.1845238095238
BA00_Dam_upper_node,w13,207.10714285714286
BA00_Dam_upper_node,w14,209.88095238095238
BA00_Dam_upper_node,w15,223.64880952380952
BA00_Dam_upper_node,w16,206.6904761904762
BA00_Dam_upper_node,w17,193.08928571428572
BA00_Dam_upper_node,w18,179.36904761904762
BA00_Dam_upper_node,w19,172.44642857142858
BA00_Dam_upper_node,w20,141.54166666666666
BA00_Dam_upper_node,w21,129.70238095238096
BA00_Dam_upper_node,w22,130.11309523809524
BA00_Dam_upper_node,w23,129.91071428571428
BA00_Dam_upper_node,w24,137.35714285714286
BA00_Dam_upper_node,w25,138.76785714285714
BA00_Dam_upper_node,w26,139.63690476190476
BA00_Dam_upper_node,w27,125.80357142857143
BA00_Dam_upper_node,w28,118.32738095238095
BA00_Dam_upper_node,w29,142.3154761904762
BA00_Dam_upper_node,w30,149.6547619047619
BA00_Dam_upper_node,w31,138.85119047619048
BA00_Dam_upper_node,w32,134.85119047619048
BA00_Dam_upper_node,w33,139.9404761904762
BA00_Dam_upper_node,w34,143.82142857142858
BA00_Dam_upper_node,w35,141.67261904761904
BA00_Dam_upper_node,w36,134.9047619047619
BA00_Dam_upper_node,w37,134.0595238095238
BA00_Dam_upper_node,w38,123.04166666666667
BA00_Dam_upper_node,w39,116.05357142857143
BA00_Dam_upper_node,w40,112.43452380952381
BA00_Dam_upper_node,w41,103.02380952380952
BA00_Dam_upper_node,w42,102.2797619047619
BA00_Dam_upper_node,w43,67.55952380952381
BA00_Dam_upper_node,w44,55.93452380952381
BA00_Dam_upper_node,w45,70.04166666666667
BA00_Dam_upper_node,w46,104.75595238095238
