zone,week,level
AT00,w1,0.44440071143586335
AT00,w2,0.44440071143586335
AT00,w3,0.44440071143586335
AT00,w4,0.44440071143586335
AT00,w5,0.40836114715370997
AT00,w6,0.3723215828715565
AT00,w7,0.3723215828715565
AT00,w8,0.3723215828715565
AT00,w9,0.3723215828715565
AT00,w10,0.25155228548361136
AT00,w11,0.25155228548361136
AT00,w12,0.25155228548361136
AT00,w13,0.25155228548361136
AT00,w14,0.2221293762186824
AT00,w15,0.19270646695375337
AT00,w16,0.19270646695375337
AT00,w17,0.19270646695375337
AT00,w18,0.23729032454686044
AT00,w19,0.2818741821399675
AT00,w20,0.2818741821399675
AT00,w21,0.2818741821399675
AT00,w22,0.2818741821399675
AT00,w23,0.4088679657069543
AT00,w24,0.5358617492739409
AT00,w25,0.5358617492739409
AT00,w26,0.5358617492739409
AT00,w27,0.6229590751292424
AT00,w28,0.7100564009845438
AT00,w29,0.7100564009845438
AT00,w30,0.7100564009845438
AT00,w31,0.7582617959487397
AT00,w32,0.8064671909129355
AT00,w33,0.8064671909129355
AT00,w34,0.8064671909129355
AT00,w35,0.8064671909129355
AT00,w36,0.8244158674718857
AT00,w37,0.8244158674718857
AT00,w38,0.8244158674718857
AT00,w39,0.8244158674718857
AT00,w40,0.7928224739699875
AT00,w41,0.7612290804680892
AT00,w42,0.7612290804680892
AT00,w43,0.7612290804680892
AT00,w44,0.7612290804680892
AT00,w45,0.7014163219972434
AT00,w46,0.7014163219972434
AT00,w47,0.7014163219972434
AT00,w48,0.7014163219972434
AT00,w49,0.627218690736825
AT00,w50,0.627218690736825
AT00,w51,0.627218690736825
AT00,w52,0.627218690736825
AT00,w53,0.627218690736825
CH00,w1,0.637155119558553
CH00,w2,0.6000735744941753
CH00,w3,0.5629920294297976
CH00,w4,0.52591048436542
CH00,w5,0.4888289393010423
CH00,w6,0.4517473942366646
CH00,w7,0.4156345800122624
CH00,w8,0.3795217657878602
CH00,w9,0.343408951563458
CH00,w10,0.3072961373390558
CH00,w11,0.2729123237277744
CH00,w12,0.238528510116493
CH00,w13,0.2041446965052115
CH00,w14,0.1697608828939301
CH00,w15,0.1353770692826487
CH00,w16,0.1289086450030656
CH00,w17,0.1224402207234825
CH00,w18,0.1159717964438994
CH00,w19,0.1095033721643164
CH00,w20,0.1237032495401594
CH00,w21,0.1379031269160024
CH00,w22,0.1521030042918455
CH00,w23,0.1663028816676885
CH00,w24,0.1805027590435316
CH00,w25,0.2247394236664623
CH00,w26,0.268976088289393
CH00,w27,0.3132127529123237
CH00,w28,0.3574494175352544
CH00,w29,0.4314408338442673
CH00,w30,0.5054322501532802
CH00,w31,0.579423666462293
CH00,w32,0.653415082771306
CH00,w33,0.7274064990803187
CH00,w34,0.7569589209074187
CH00,w35,0.7865113427345186
CH00,w36,0.8160637645616186
CH00,w37,0.8456161863887185
CH00,w38,0.8751686082158184
CH00,w39,0.884763948497854
CH00,w40,0.8943592887798896
CH00,w41,0.9039546290619253
CH00,w42,0.9135499693439608
CH00,w43,0.9014101778050276
CH00,w44,0.8892703862660943
CH00,w45,0.8771305947271612
CH00,w46,0.8649908031882281
CH00,w47,0.8297057020232985
CH00,w48,0.7944206008583691
CH00,w49,0.7591354996934395
CH00,w50,0.7238503985285101
CH00,w51,0.6766400980993256
CH00,w52,0.629429797670141
CH00,w53,0.5822194972409565
ES00,w1,0.3933126734
ES00,w2,0.506375
ES00,w3,0.51125
ES00,w4,0.516125
ES00,w5,0.521
ES00,w6,0.521875
ES00,w7,0.5227499999999999
ES00,w8,0.523625
ES00,w9,0.5245
ES00,w10,0.5338
ES00,w11,0.5430999999999999
ES00,w12,0.5524
ES00,w13,0.5617
ES00,w14,0.571
ES00,w15,0.57375
ES00,w16,0.5765000000000001
ES00,w17,0.57925
ES00,w18,0.5820000000000001
ES00,w19,0.5782
ES00,w20,0.5743999999999999
ES00,w21,0.5706
ES00,w22,0.5668
ES00,w23,0.563
ES00,w24,0.5483750000000001
ES00,w25,0.5337500000000001
ES00,w26,0.519125
ES00,w27,0.5045
ES00,w28,0.49075
ES00,w29,0.477
ES00,w30,0.46325
ES00,w31,0.4495
ES00,w32,0.4438
ES00,w33,0.43809999999999993
ES00,w34,0.43239999999999995
ES00,w35,0.42669999999999997
ES00,w36,0.421
ES00,w37,0.417
ES00,w38,0.413
ES00,w39,0.409
ES00,w40,0.40499999999999997
ES00,w41,0.41124999999999995
ES00,w42,0.4175
ES00,w43,0.42374999999999996
ES00,w44,0.43
ES00,w45,0.4457
ES00,w46,0.46140000000000003
ES00,w47,0.47709999999999997
ES00,w48,0.4928
ES00,w49,0.5085
ES00,w50,0.5071
ES00,w51,0.5057
ES00,w52,0.5043
ES00,w53,0.5028999999999999
FI00,w1,0.5719858951175406
FI00,w2,0.5454792043399639
FI00,w3,0.5264918625678119
FI00,w4,0.5089511754068716
FI00,w5,0.49493670886075947
FI00,w6,0.4790235081374322
FI00,w7,0.456509945750452
FI00,w8,0.43544303797468353
FI00,w9,0.40696202531645564
FI00,w10,0.38399638336347197
FI00,w11,0.3640144665461121
FI00,w12,0.3379746835443038
FI00,w13,0.3154611211573237
FI00,w14,0.3
FI00,w15,0.3019855334538879
FI00,w16,0.3030741410488246
FI00,w17,0.3424954792043399
FI00,w18,0.4015370705244123
FI00,w19,0.4580470162748644
FI00,w20,0.5179927667269439
FI00,w21,0.5849909584086799
FI00,w22,0.599005424954792
FI00,w23,0.6145569620253165
FI00,w24,0.6199819168173599
FI00,w25,0.6125678119349006
FI00,w26,0.6039783001808319
FI00,w27,0.608499095840868
FI00,w28,0.6134719710669078
FI00,w29,0.6199819168173599
FI00,w30,0.6189873417721519
FI00,w31,0.6154611211573238
FI00,w32,0.6054249547920434
FI00,w33,0.6004520795660035
FI00,w34,0.6070524412296564
FI00,w35,0.6120253164556961
FI00,w36,0.6079566003616637
FI00,w37,0.6065099457504521
FI00,w38,0.6139240506329113
FI00,w39,0.6215189873417721
FI00,w40,0.6225135623869801
FI00,w41,0.6245027124773961
FI00,w42,0.6284810126582279
FI00,w43,0.6260397830018083
FI00,w44,0.6274864376130198
FI00,w45,0.6259493670886076
FI00,w46,0.6270343580470162
FI00,w47,0.6260397830018083
FI00,w48,0.6174502712477397
FI00,w49,0.6120253164556961
FI00,w50,0.6024412296564196
FI00,w51,0.5909584086799278
FI00,w52,0.5764918625678119
FI00,w53,0.5719710669077758
FR00,w1,0.555
FR00,w2,0.539
FR00,w3,0.523
FR00,w4,0.507
FR00,w5,0.491
FR00,w6,0.475
FR00,w7,0.45
FR00,w8,0.425
FR00,w9,0.4
FR00,w10,0.375
FR00,w11,0.37124999999999997
FR00,w12,0.36750000000000005
FR00,w13,0.3637500000000001
FR00,w14,0.36000000000000004
FR00,w15,0.358
FR00,w16,0.356
FR00,w17,0.354
FR00,w18,0.352
FR00,w19,0.35
FR00,w20,0.39249999999999996
FR00,w21,0.435
FR00,w22,0.4775
FR00,w23,0.52
FR00,w24,0.565
FR00,w25,0.61
FR00,w26,0.655
FR00,w27,0.7
FR00,w28,0.7110000000000001
FR00,w29,0.722
FR00,w30,0.7330000000000001
FR00,w31,0.744
FR00,w32,0.755
FR00,w33,0.7575
FR00,w34,0.76
FR00,w35,0.7625000000000001
FR00,w36,0.765
FR00,w37,0.7625
FR00,w38,0.76
FR00,w39,0.7575000000000001
FR00,w40,0.755
FR00,w41,0.75
FR00,w42,0.745
FR00,w43,0.74
FR00,w44,0.735
