zone,week,level
AT00,w1,0.44440071143586335
AT00,w2,0.44440071143586335
AT00,w3,0.44440071143586335
AT00,w4,0.44440071143586335
AT00,w5,0.40836114715370997
AT00,w6,0.3723215828715565
AT00,w7,0.3723215828715565
AT00,w8,0.3723215828715565
AT00,w9,0.3723215828715565
AT00,w10,0.25155228548361136
AT00,w11,0.25155228548361136
AT00,w12,0.25155228548361136
AT00,w13,0.25155228548361136
AT00,w14,0.2221293762186824
AT00,w15,0.19270646695375337
AT00,w16,0.19270646695375337
AT00,w17,0.19270646695375337
AT00,w18,0.23729032454686044
AT00,w19,0.2818741821399675
AT00,w20,0.2818741821399675
AT00,w21,0.2818741821399675
AT00,w22,0.2818741821399675
AT00,w23,0.4088679657069543
AT00,w24,0.5358617492739409
AT00,w25,0.5358617492739409
AT00,w26,0.5358617492739409
AT00,w27,0.6229590751292424
AT00,w28,0.7100564009845438
AT00,w29,0.7100564009845438
AT00,w30,0.7100564009845438
AT00,w31,0.7582617959487397
AT00,w32,0.8064671909129355
AT00,w33,0.8064671909129355
AT00,w34,0.8064671909129355
AT00,w35,0.8064671909129355
AT00,w36,0.8244158674718857
AT00,w37,0.8244158674718857
AT00,w38,0.8244158674718857
AT00,w39,0.8244158674718857
AT00,w40,0.7928224739699875
AT00,w41,0.7612290804680892
AT00,w42,0.7612290804680892
AT00,w43,0.7612290804680892
AT00,w44,0.7612290804680892
AT00,w45,0.7014163219972434
AT00,w46,0.7014163219972434
AT00,w47,0.7014163219972434
AT00,w48,0.7014163219972434
AT00,w49,0.627218690736825
AT00,w50,0.627218690736825
AT00,w51,0.627218690736825
AT00,w52,0.627218690736825
AT00,w53,0.627218690736825
CH00,w1,0.6913549969343961
CH00,w2,0.6742121397915388
CH00,w3,0.6570692826486817
CH00,w4,0.6399264255058247
CH00,w5,0.6227835683629674
CH00,w6,0.6056407112201103
CH00,w7,0.571704475781729
CH00,w8,0.5377682403433476
CH00,w9,0.5038320049049663
CH00,w10,0.4698957694665849
CH00,w11,0.4444880441446965
CH00,w12,0.4190803188228081
CH00,w13,0.3936725935009197
CH00,w14,0.3682648681790312
CH00,w15,0.3428571428571429
CH00,w16,0.3474248927038626
CH00,w17,0.3519926425505824
CH00,w18,0.3565603923973023
CH00,w19,0.3611281422440221
CH00,w20,0.3835683629675046
CH00,w21,0.4060085836909871
CH00,w22,0.4284488044144696
CH00,w23,0.4508890251379521
CH00,w24,0.4733292458614347
CH00,w25,0.5338136112814225
CH00,w26,0.5942979767014102
CH00,w27,0.6547823421213979
CH00,w28,0.7152667075413857
CH00,w29,0.7415573267933782
CH00,w30,0.7678479460453709
CH00,w31,0.7941385652973635
CH00,w32,0.8204291845493562
CH00,w33,0.8467198038013488
CH00,w34,0.8600613120784795
CH00,w35,0.87340282035561
CH00,w36,0.8867443286327406
CH00,w37,0.9000858369098712
CH00,w38,0.9134273451870016
CH00,w39,0.9148681790312692
CH00,w40,0.9163090128755365
CH00,w41,0.9177498467198038
CH00,w42,0.919190680564071
CH00,w43,0.8972409564684243
CH00,w44,0.8752912323727774
CH00,w45,0.8533415082771305
CH00,w46,0.8313917841814837
CH00,w47,0.7996014714898835
CH00,w48,0.7678111587982832
CH00,w49,0.736020846106683
CH00,w50,0.7042305334150827
CH00,w51,0.6541590026568571
CH00,w52,0.6040874718986303
CH00,w53,0.5540159411404046
ES00,w1,0.5362704909
ES00,w2,0.506375
ES00,w3,0.51125
ES00,w4,0.516125
ES00,w5,0.521
ES00,w6,0.521875
ES00,w7,0.5227499999999999
ES00,w8,0.523625
ES00,w9,0.5245
ES00,w10,0.5338
ES00,w11,0.5430999999999999
ES00,w12,0.5524
ES00,w13,0.5617
ES00,w14,0.571
ES00,w15,0.57375
ES00,w16,0.5765000000000001
ES00,w17,0.57925
ES00,w18,0.5820000000000001
ES00,w19,0.5782
ES00,w20,0.5743999999999999
ES00,w21,0.5706
ES00,w22,0.5668
ES00,w23,0.563
ES00,w24,0.5483750000000001
ES00,w25,0.5337500000000001
ES00,w26,0.519125
ES00,w27,0.5045
ES00,w28,0.49075
ES00,w29,0.477
ES00,w30,0.46325
ES00,w31,0.4495
ES00,w32,0.4438
ES00,w33,0.43809999999999993
ES00,w34,0.43239999999999995
ES00,w35,0.42669999999999997
ES00,w36,0.421
ES00,w37,0.417
ES00,w38,0.413
ES00,w39,0.409
ES00,w40,0.40499999999999997
ES00,w41,0.41124999999999995
ES00,w42,0.4175
ES00,w43,0.42374999999999996
ES00,w44,0.43
ES00,w45,0.4457
ES00,w46,0.46140000000000003
ES00,w47,0.47709999999999997
ES00,w48,0.4928
ES00,w49,0.5085
ES00,w50,0.5071
ES00,w51,0.5057
ES00,w52,0.5043
ES00,w53,0.5028999999999999
FI00,w1,0.7056057866184449
FI00,w2,0.5454792043399639
FI00,w3,0.5264918625678119
FI00,w4,0.5089511754068716
FI00,w5,0.49493670886075947
FI00,w6,0.4790235081374322
FI00,w7,0.456509945750452
FI00,w8,0.43544303797468353
FI00,w9,0.40696202531645564
FI00,w10,0.38399638336347197
FI00,w11,0.3640144665461121
FI00,w12,0.3379746835443038
FI00,w13,0.3154611211573237
FI00,w14,0.3
FI00,w15,0.3019855334538879
FI00,w16,0.3030741410488246
FI00,w17,0.3424954792043399
FI00,w18,0.4015370705244123
FI00,w19,0.4580470162748644
FI00,w20,0.5179927667269439
FI00,w21,0.5849909584086799
FI00,w22,0.599005424954792
FI00,w23,0.6145569620253165
FI00,w24,0.6199819168173599
FI00,w25,0.6125678119349006
FI00,w26,0.6039783001808319
FI00,w27,0.608499095840868
FI00,w28,0.6134719710669078
FI00,w29,0.6199819168173599
FI00,w30,0.6189873417721519
FI00,w31,0.6154611211573238
FI00,w32,0.6054249547920434
FI00,w33,0.6004520795660035
FI00,w34,0.6070524412296564
FI00,w35,0.6120253164556961
FI00,w36,0.6079566003616637
FI00,w37,0.6065099457504521
FI00,w38,0.6139240506329113
FI00,w39,0.6215189873417721
FI00,w40,0.6225135623869801
FI00,w41,0.6245027124773961
FI00,w42,0.6284810126582279
FI00,w43,0.6260397830018083
FI00,w44,0.6274864376130198
FI00,w45,0.6259493670886076
FI00,w46,0.6270343580470162
FI00,w47,0.6260397830018083
FI00,w48,0.6174502712477397
FI00,w49,0.6120253164556961
FI00,w50,0.6024412296564196
FI00,w51,0.5909584086799278
FI00,w52,0.5764918625678119
FI00,w53,0.5719710669077758
FR00,w1,0.555
FR00,w2,0.539
FR00,w3,0.523
FR00,w4,0.507
FR00,w5,0.491
FR00,w6,0.475
FR00,w7,0.45
FR00,w8,0.425
FR00,w9,0.4
FR00,w10,0.375
FR00,w11,0.37124999999999997
FR00,w12,0.36750000000000005
FR00,w13,0.3637500000000001
FR00,w14,0.36000000000000004
FR00,w15,0.358
FR00,w16,0.356
FR00,w17,0.354
FR00,w18,0.352
FR00,w19,0.35
FR00,w20,0.39249999999999996
FR00,w21,0.435
FR00,w22,0.4775
FR00,w23,0.52
FR00,w24,0.565
FR00,w25,0.61
FR00,w26,0.655
FR00,w27,0.7
FR00,w28,0.7110000000000001
FR00,w29,0.722
FR00,w30,0.7330000000000001
FR00,w31,0.744
FR00,w32,0.755
FR00,w33,0.7575
FR00,w34,0.76
FR00,w35,0.7625000000000001
FR00,w36,0.765
FR00,w37,0.7625
FR00,w38,0.76
FR00,w39,0.7575000000000001
FR00,w40,0.755
FR00,w41,0.75
FR00,w42,0.745
FR00,w43,0.74
FR00,w44,0.735
