plant_name,node,year,scenario,weather_year,H2_export,H2_import,H2_net_export,net_demand_electrolysis,electrolysis_demand
PT00_electrolyzer,PT00,2030,DistributedEnergy,2008,0.0,-1890.0749398100002,1890.0749398100002,4622958.22305,2732.8832832400003
SI00_electrolyzer,SI00,2030,DistributedEnergy,2008,0.0,668.7982447099998,-668.7982447099998,828517.1065700002,1497.31535128
SK00_electrolyzer,SK00,2030,DistributedEnergy,2008,0.0,-343.14057358999963,343.14057358999963,4929654.80454,4586.51423095
HR00_electrolyzer,HR00,2030,DistributedEnergy,2008,1734.74069997,0.0,1734.74069997,4359729.4424600005,2624.9887424900003
SE01_electrolyzer,SE01,2030,DistributedEnergy,2008,6123.40227851,6394.24517112,-270.8428926100005,9.99949634206132e-06,270.84289262
SE02_electrolyzer,SE02,2030,DistributedEnergy,2008,8354.25975742,6123.40227851,2230.857478910001,3243544.4946700013,1012.68701576
SE03_electrolyzer,SE03,2030,DistributedEnergy,2008,10418.23065298,8354.25975742,2063.97089556,7365685.2718899995,5301.71437633
SE04_electrolyzer,SE04,2030,DistributedEnergy,2008,0.0,-5377.842538729998,5377.842538729998,6807518.325649997,1429.67578692
NON1_electrolyzer,NON1,2030,DistributedEnergy,2008,0.0,0.0,0.0,0.0,0.0
NOM1_electrolyzer,NOM1,2030,DistributedEnergy,2008,0.0,0.0,0.0,0.0,0.0
NOS0_electrolyzer,NOS0,2030,DistributedEnergy,2008,0.0,0.0,0.0,0.0,0.0
CH00_electrolyzer,CH00,2030,DistributedEnergy,2009,-9.999411076933029e-09,0.0,-9.999411076933029e-09,-9.999411076933029e-06,0.0
IT00_electrolyzer,IT00,2030,DistributedEnergy,2009,-2350.02978929,12374.44344011,-14724.4732294,33403605.53575,48128.07876515
DE00_electrolyzer,DE00,2030,DistributedEnergy,2009,-20399.54617981,21960.43129405,-42359.977473859995,80041814.78614001,122401.79226
FR00_electrolyzer,FR00,2030,DistributedEnergy,2009,0.0,4483.68676843,-4483.68676843,24895588.761079997,29379.27552951
AT00_electrolyzer,AT00,2030,DistributedEnergy,2009,-2210.5275016099995,0.0,-2210.5275016099995,6174928.576480001,8385.456078090001
DKE1_electrolyzer,DKE1,2030,DistributedEnergy,2009,-7764.4831859999995,-8170.5046324899995,406.02144649,1177879.56865,771.85812216
DKW1_electrolyzer,DKW1,2030,DistributedEnergy,2009,0.0,-265.39033761999997,265.39033761999997,1533442.96691,1268.05262929
BE00_electrolyzer,BE00,2030,DistributedEnergy,2009,7977.769332009999,5009.17806536,2968.591266649999,11609396.19106,8640.80492441
CZ00_electrolyzer,CZ00,2030,DistributedEnergy,2009,-2906.9078900700006,0.0,-2906.9078900700006,6489519.5050099995,9396.42739508
ES00_electrolyzer,ES00,2030,DistributedEnergy,2009,9152.059080179999,0.0,9152.059080179999,24425263.271569997,15273.20419139
UK00_electrolyzer,UK00,2030,DistributedEnergy,2009,0.0,19106.52448695,-19106.52448695,20414121.716950007,39520.6462039
HU00_electrolyzer,HU00,2030,DistributedEnergy,2009,-2234.4470631900003,1035.9657,-3270.41276319,8002049.194319999,11272.461957509999
LU00_electrolyzer,LU00,2030,DistributedEnergy,2009,0.0,0.0,0.0,0.0,0.0
NL00_electrolyzer,NL00,2030,DistributedEnergy,2009,0.0,-8244.0447783,8244.0447783,35578438.75131,27334.39397301
PL00_electrolyzer,PL00,2030,DistributedEnergy,2009,20844.14077081,16143.32604298,4700.814727830002,26894592.190610003,22193.77746278
PT00_electrolyzer,PT00,2030,DistributedEnergy,2009,0.0,-2348.178402,2348.178402,5081061.68524,2732.8832832400003
SI00_electrolyzer,SI00,2030,DistributedEnergy,2009,0.0,674.7776900700005,-674.7776900700005,822537.6612099995,1497.31535128
SK00_electrolyzer,SK00,2030,DistributedEnergy,2009,0.0,-339.81329671999765,339.81329671999765,4926327.527669997,4586.51423095
HR00_electrolyzer,HR00,2030,DistributedEnergy,2009,1734.74069997,0.0,1734.74069997,4359729.4424600005,2624.9887424900003
SE01_electrolyzer,SE01,2030,DistributedEnergy,2009,5694.59398694,5965.43687956,-270.8428926200004,-3.979039320256561e-10,270.84289262
SE02_electrolyzer,SE02,2030,DistributedEnergy,2009,7614.74265735,5694.59398694,1920.1486704099998,2932835.68617,1012.68701576
SE03_electrolyzer,SE03,2030,DistributedEnergy,2009,8606.16955083,7614.74265735,991.4268934800002,6293141.26981,5301.71437633
SE04_electrolyzer,SE04,2030,DistributedEnergy,2009,0.0,-4537.08544133,4537.08544133,5966761.228250001,1429.67578692
NON1_electrolyzer,NON1,2030,DistributedEnergy,2009,0.0,0.0,0.0,0.0,0.0
NOM1_electrolyzer,NOM1,2030,DistributedEnergy,2009,0.0,0.0,0.0,0.0,0.0
NOS0_electrolyzer,NOS0,2030,DistributedEnergy,2009,0.0,0.0,0.0,0.0,0.0
CH00_electrolyzer,CH00,2040,DistributedEnergy,1995,-1.0000478667393509e-08,0.0,-1.0000478667393509e-08,-1.0000478667393509e-05,0.0
IT00_electrolyzer,IT00,2040,DistributedEnergy,1995,571.81727129,126201.22843821,-125629.41116692,103387745.15052998,229017.15631745
DE00_electrolyzer,DE00,2040,DistributedEnergy,1995,-187573.73687812,74000.84282397,-261574.57970209,227649727.72594994,489224.30742803996
FR00_electrolyzer,FR00,2040,DistributedEnergy,1995,0.0,-59006.65526606001,59006.65526606001,173409291.62753,114402.63636147
