node,nodeline,fuel,capacity
GR00,GR00H2R1,Solar,15148.39
GR00,GR00H2R1,Wind Onshore,6084.16
GR00,GR00RETE,Solar,16379.24
GR03,GR03,Solar,775.9
GR03,GR03,Wind Onshore,7034.33
GR03,GR03,Oil,98
GR03,GR03,Wind Offshore,110.55000000000001
HR00,HR00,Hydro,2647.57003784
HR00,HR00,Solar,1046.9099999999999
HR00,HR00,Wind Onshore,2447.2799999999997
HR00,HR00,Other Non RES,200
HR00,HR00,Other RES,400
HR00,HR00H2R1,Solar,480.09
HR00,HR00H2R1,Wind Onshore,52.72
HR00,HR00RETE,Solar,751
HU00,HU00,Gas,500
HU00,HU00,Hydro,55
HU00,HU00,Solar,6019.34
HU00,HU00,Wind Onshore,325.8
HU00,HU00,Other Non RES,606.3374462
HU00,HU00,Other RES,991.77
HU00,HU00,Nuclear,2360
HU00,HU00H2R1,Solar,12125.66
HU00,HU00H2R1,Wind Onshore,2713.12
HU00,HU00RETE,Solar,6268.24
IE00,IE00,Gas,4109
IE00,IE00,Hydro,508
IE00,IE00,Solar,702.35
IE00,IE00,Wind Onshore,4300
IE00,IE00,Other Non RES,67.4964624
IE00,IE00,Other RES,154
IE00,IE00,Oil,324
IE00,IE00,Wind Offshore,8470.54
IE00,IE00H2R1,Solar,332.48
IE00,IE00H2R1,Wind Onshore,3727.33
IE00,IE00H2R4,Wind Onshore,243.05
IE00,IE00H2R4,Wind Offshore,812.49
IE00,IE00HER4,Wind Onshore,131.88
IE00,IE00HER4,Wind Offshore,295.55
IE00,IE00RETE,Solar,448.18
IT00,IT00,Gas,41775.7999993
IT00,IT00,Hydro,29079.120376580006
IT00,IT00,Solar,32077.92
IT00,IT00,Wind Onshore,16543.74
IT00,IT00,Other Non RES,6534.00058917
IT00,IT00,Other RES,4874.919999999999
IT00,IT00,Wind Offshore,13521.4527723
IT00,IT00H2R1,Solar,81767.06
IT00,IT00H2R1,Wind Onshore,11971.429999999998
IT00,IT00H2R4,Solar,631.8299999999999
IT00,IT00H2R4,Wind Onshore,212.9
IT00,IT00H2R4,Wind Offshore,172.99826835
IT00,IT00HER4,Solar,4135.45
IT00,IT00HER4,Wind Onshore,1251.16
IT00,IT00HER4,Wind Offshore,1305.5489595
IT00,IT00RETE,Solar,57107.33000000001
LT00,LT00,Gas,32.2
LT00,LT00,Hydro,1056.19999695
LT00,LT00,Solar,481.25
LT00,LT00,Wind Onshore,1760
LT00,LT00,Other Non RES,135
LT00,LT00,Other RES,212.39
LT00,LT00,Oil,150
LT00,LT00,Wind Offshore,2259.97
LT00,LT00H2R1,Wind Onshore,1680
LT00,LT00RETE,Solar,667.6
LUG1,LUG1,Hydro,43
LUG1,LUG1,Wind Onshore,385
LUG1,LUG1,Other Non RES,100
LUG1,LUG1,Other RES,121.3
LUG1,LUG1RETE,Solar,508.54
LUV1,LUV1,Hydro,1310
LV00,LV00,Gas,65
LV00,LV00,Hydro,1601
LV00,LV00,Solar,185.37
LV00,LV00,Wind Onshore,348.48
LV00,LV00,Other RES,300
LV00,LV00,Wind Offshore,1852.3899999999999
LV00,LV00H2R1,Wind Onshore,96.58
LV00,LV00RETE,Solar,86.84
ME00,ME00,Hydro,1137.25302124
ME00,ME00,Solar,786
ME00,ME00,Wind Onshore,1212
ME00,ME00,Other RES,49
MK00,MK00,Hydro,1480.38998413
MK00,MK00,Solar,1262
MK00,MK00,Wind Onshore,436
MK00,MK00,Other RES,31
MK00,MK00RETE,Solar,9.66
MT00,MT00,Gas,728
MT00,MT00,Solar,332.03999999999996
