 node , nodeline , fuel , DistributedEnergy_1995_capacity , DistributedEnergy_2008_capacity , DistributedEnergy_2009_capacity , GlobalAmbition_1995_capacity , GlobalAmbition_2008_capacity , GlobalAmbition_2009_capacity 
 DE00 , DE00 , Other RES , 8’657 , 8’657 , 8’657 , 8’657 , 8’657 , 8’657 
 DE00 , DE00 , Oil , 144 , 144 , 144 , 144 , 144 , 144 
 DE00 , DE00 , Wind Offshore , 52’199 , 52’199 , 52’199 , 63’693 , 63’693 , 63’693 
 DE00 , DE00H2R1 , Solar , 32’499 , 32’499 , 32’499 ,,,
 DE00 , DE00H2R1 , Wind Onshore , 77’635 , 77’635 , 77’635 , 60’588 , 60’588 , 60’588 
 DE00 , DE00H2R4 , Solar , 5’735 , 5’735 , 5’735 ,,,
 DE00 , DE00H2R4 , Wind Onshore , 5’564 , 5’564 , 5’564 , 1’228 , 1’228 , 1’228 
 DE00 , DE00H2R4 , Wind Offshore , 11’035 , 11’035 , 11’035 , 3’376 , 3’376 , 3’376 
 DE00 , DE00RETE , Solar , 180’079 , 180’079 , 180’079 , 84’000 , 84’000 , 84’000 
 DKE1 , DKE1 , Gas , 2’052 , 2’052 , 2’052 , 157 , 157 , 157 
 DKE1 , DKE1 , Solar , 4’005 , 4’005 , 4’005 , 1’709 , 1’709 , 1’709 
 DKE1 , DKE1 , Wind Onshore , 2’650 , 2’650 , 2’650 , 2’050 , 2’050 , 2’050 
 DKE1 , DKE1 , Other Non RES , 18 , 18 , 18 , 18 , 18 , 18 
 DKE1 , DKE1 , Other RES , 356 , 356 , 356 , 356 , 356 , 356 
 DKE1 , DKE1 , Oil , 62 , 62 , 62 , 62 , 62 , 62 
 DKE1 , DKE1 , Wind Offshore , 6’453 , 6’453 , 6’453 , 6’555 , 6’555 , 6’555 
 DKE1 , DKE1H2R1 , Solar , 6’743 , 6’743 , 6’743 , 463 , 463 , 463 
 DKE1 , DKE1H2R1 , Wind Onshore , 787 , 787 , 787 , 757 , 757 , 757 
 DKE1 , DKE1H2R4 , Solar , 1’779 , 1’779 , 1’779 ,,,
 DKE1 , DKE1H2R4 , Wind Onshore , 816 , 816 , 816 ,,,
 DKE1 , DKE1H2R4 , Wind Offshore , 271 , 271 , 271 , 1’661 , 1’661 , 1’661 
 DKE1 , DKE1RETE , Solar , 4’279 , 4’279 , 4’279 , 2’389 , 2’389 , 2’389 
 DKKF , DKKF , Wind Offshore , 605 , 605 , 605 ,,,
 DKW1 , DKW1 , Gas , 4’130 , 4’130 , 4’130 , 341 , 341 , 341 
 DKW1 , DKW1 , Solar , 6’838 , 6’838 , 6’838 , 2’808 , 2’808 , 2’808 
 DKW1 , DKW1 , Wind Onshore , 4’068 , 4’068 , 4’068 , 3’368 , 3’368 , 3’368 
 DKW1 , DKW1 , Other Non RES , 29 , 29 , 29 , 29 , 29 , 29 
 DKW1 , DKW1 , Other RES , 445 , 445 , 445 , 445 , 445 , 445 
 DKW1 , DKW1 , Oil , 209 , 209 , 209 , 209 , 209 , 209 
 DKW1 , DKW1 , Wind Offshore , 15’925 , 15’925 , 15’925 , 23’052 , 23’052 , 23’052 
 DKW1 , DKW1H2R1 , Solar , 5’317 , 5’317 , 5’317 , 760 , 760 , 760 
 DKW1 , DKW1H2R1 , Wind Onshore , 2’205 , 2’205 , 2’205 , 933 , 933 , 933 
