 node , nodeline , fuel , DistributedEnergy_1995_capacity , DistributedEnergy_2008_capacity , DistributedEnergy_2009_capacity , GlobalAmbition_1995_capacity , GlobalAmbition_2008_capacity , GlobalAmbition_2009_capacity 
 NON1 , NON1 , Other Non RES , 195 , 195 , 195 , 195 , 195 , 195 
 NON1 , NON1 , Other RES , 0 , 0 , 0 , 0 , 0 , 0 
 NOS0 , NOS0 , Gas , 878 , 878 , 878 ,,,
 NOS0 , NOS0 , Hydro , 23’492 , 23’492 , 23’492 , 23’492 , 23’492 , 23’492 
 NOS0 , NOS0 , Solar , 243 , 243 , 243 , 243 , 243 , 243 
 NOS0 , NOS0 , Wind Onshore , 7’542 , 7’542 , 7’542 , 5’246 , 5’246 , 5’246 
 NOS0 , NOS0 , Other Non RES , 50 , 50 , 50 , 50 , 50 , 50 
 NOS0 , NOS0 , Wind Offshore , 1’450 , 1’450 , 1’450 , 4’335 , 4’335 , 4’335 
 PL00 , PL00 , Gas , 29’409 , 29’409 , 29’409 , 10’033 , 10’033 , 10’033 
 PL00 , PL00 , Hydro , 2’309 , 2’309 , 2’309 , 2’309 , 2’309 , 2’309 
 PL00 , PL00 , Solar , 5’398 , 5’398 , 5’398 , 3’778 , 3’778 , 3’778 
 PL00 , PL00 , Wind Onshore , 13’623 , 13’623 , 13’623 , 7’623 , 7’623 , 7’623 
 PL00 , PL00 , Other Non RES , 7’220 , 7’220 , 7’220 , 7’220 , 7’220 , 7’220 
 PL00 , PL00 , Other RES , 549 , 545 , 549 , 550 , 550 , 549 
 PL00 , PL00 , Wind Offshore , 14’061 , 14’061 , 14’061 , 18’843 , 18’843 , 18’843 
 PL00 , PL00H2R1 , Solar , 4’261 , 4’261 , 4’261 , 3’925 , 3’925 , 3’925 
 PL00 , PL00H2R1 , Wind Onshore , 34’079 , 34’079 , 34’079 , 11’894 , 11’894 , 11’894 
 PL00 , PL00HER4 , Solar , 10’875 , 10’875 , 10’875 , 335 , 335 , 335 
 PL00 , PL00HER4 , Wind Onshore , 15’486 , 15’486 , 15’486 , 798 , 798 , 798 
 PL00 , PL00HER4 , Wind Offshore , 1’586 , 1’586 , 1’586 , 1’147 , 1’147 , 1’147 
 PL00 , PL00RETE , Solar , 19’354 , 19’354 , 19’354 , 12’064 , 12’064 , 12’064 
 PT00 , PT00 , Gas , 2’839 , 2’839 , 2’839 , 2’839 , 2’839 , 2’839 
 PT00 , PT00 , Hydro , 8’391 , 8’391 , 8’391 , 8’391 , 8’391 , 8’391 
 PT00 , PT00 , Solar , 13’105 , 13’105 , 13’105 , 7’966 , 7’966 , 7’966 
 PT00 , PT00 , Wind Onshore , 9’951 , 9’951 , 9’951 , 9’951 , 9’951 , 9’951 
 PT00 , PT00 , Other Non RES , 440 , 440 , 440 , 440 , 440 , 440 
 PT00 , PT00 , Other RES , 1’178 , 1’178 , 1’178 , 1’178 , 1’178 , 1’178 
 PT00 , PT00 , Wind Offshore , 667 , 667 , 667 , 796 , 796 , 796 
 PT00 , PT00H2R1 , Solar , 15’214 , 15’214 , 15’214 , 15’399 , 15’399 , 15’399 
 PT00 , PT00H2R1 , Wind Onshore , 17’498 , 17’498 , 17’498 , 10’579 , 10’579 , 10’579 
 PT00 , PT00H2R4 , Solar , 424 , 424 , 424 , 1’651 , 1’651 , 1’651 
 PT00 , PT00H2R4 , Wind Onshore , 216 , 216 , 216 , 776 , 776 , 776 
 PT00 , PT00HER4 , Solar , 537 , 537 , 537 , 743 , 743 , 743 
 PT00 , PT00HER4 , Wind Onshore , 282 , 282 , 282 , 342 , 342 , 342 
 PT00 , PT00RETE , Solar , 7’985 , 7’985 , 7’985 , 3’436 , 3’436 , 3’436 
 RO00 , RO00 , Gas , 8’018 , 8’018 , 8’018 , 4’389 , 4’389 , 4’389 
 RO00 , RO00 , Hydro , 6’784 , 6’784 , 6’784 , 6’784 , 6’784 , 6’784 
 RO00 , RO00 , Solar , 6’300 , 6’300 , 6’300 , 2’310 , 2’310 , 2’310 
 RO00 , RO00 , Wind Onshore , 5’005 , 5’005 , 5’005 , 5’005 , 5’005 , 5’005 
 RO00 , RO00 , Other RES , 350 , 350 , 350 , 350 , 350 , 350 
 RO00 , RO00 , Wind Offshore , 114 , 114 , 114 ,,,
 RO00 , RO00 , Nuclear , 650 , 650 , 650 , 2’630 , 2’630 , 2’630 
 RO00 , RO00H2R1 , Solar , 23’946 , 23’946 , 23’946 , 1’640 , 1’640 , 1’640 
 RO00 , RO00H2R1 , Wind Onshore , 34’544 , 34’544 , 34’544 , 3’695 , 3’695 , 3’695 
 RO00 , RO00H2R4 , Solar , 2’086 , 2’086 , 2’086 ,,,
 RO00 , RO00H2R4 , Wind Onshore , 1’084 , 1’084 , 1’084 ,,,
 RO00 , RO00RETE , Solar , 10’713 , 10’713 , 10’713 , 3’704 , 3’704 , 3’704 
 RS00 , RS00 , Gas , 401 , 401 , 401 , 401 , 401 , 401 
 RS00 , RS00 , Hydro , 3’949 , 3’949 , 3’949 , 3’949 , 3’949 , 3’949 
 RS00 , RS00 , Solar , 725 , 725 , 725 , 235 , 235 , 235 
 RS00 , RS00 , Wind Onshore , 4’841 , 4’841 , 4’841 , 4’628 , 4’628 , 4’628 
 RS00 , RS00 , Other RES , 297 , 297 , 297 , 297 , 297 , 297 
 RS00 , RS00RETE , Solar , 83 , 83 , 83 ,,,
 SE01 , SE01 , Gas , -   , -   , -   , 35 , 35 , 35 
 SE01 , SE01 , Hydro , 5’444 , 5’444 , 5’444 , 5’444 , 5’444 , 5’444 
 SE01 , SE01 , Solar , 548 , 548 , 548 , 174 , 174 , 174 
 SE01 , SE01 , Wind Onshore , 1’441 , 1’441 , 1’441 , 1’441 , 1’441 , 1’441 
 SE01 , SE01 , Other RES , 300 , 300 , 300 , 300 , 300 , 300 
 SE01 , SE01 , Wind Offshore , 756 , 756 , 756 , 571 , 571 , 571 
 SE01 , SE01H2R1 , Solar , 89 , 89 , 89 ,,,
 SE01 , SE01H2R1 , Wind Onshore , 1’821 , 1’821 , 1’821 , 273 , 273 , 273 
 SE01 , SE01RETE , Solar , 736 , 736 , 736 , 270 , 270 , 270 
 SE02 , SE02 , Gas , 1’311 , 1’311 , 1’311 , 54 , 54 , 54 
 SE02 , SE02 , Hydro , 8’075 , 8’075 , 8’075 , 8’075 , 8’075 , 8’075 
 SE02 , SE02 , Solar , 421 , 421 , 421 , 295 , 295 , 295 
 SE02 , SE02 , Wind Onshore , 3’329 , 3’329 , 3’329 , 3’329 , 3’329 , 3’329 
 SE02 , SE02 , Other RES , 768 , 768 , 768 , 768 , 768 , 768 
 SE02 , SE02 , Wind Offshore , 1’286 , 1’286 , 1’286 , 971 , 971 , 971 
 SE02 , SE02H2R1 , Solar , 452 , 452 , 452 ,,,
 SE02 , SE02H2R1 , Wind Onshore , 3’096 , 3’096 , 3’096 , 1’099 , 1’099 , 1’099 
 SE02 , SE02RETE , Solar , 1’250 , 1’250 , 1’250 , 540 , 540 , 540 
 SE03 , SE03 , Gas , 57 , 57 , 57 , 57 , 57 , 57 
 SE03 , SE03 , Hydro , 2’583 , 2’583 , 2’583 , 2’583 , 2’583 , 2’583 
 SE03 , SE03 , Solar , 5’206 , 5’206 , 5’206 , 1’544 , 1’544 , 1’544 
 SE03 , SE03 , Wind Onshore , 9’455 , 9’455 , 9’455 , 9’455 , 9’455 , 9’455 
 SE03 , SE03 , Other RES , 2’865 , 2’865 , 2’865 , 2’865 , 2’865 , 2’865 
 SE03 , SE03 , Wind Offshore , 6’728 , 6’728 , 6’728 , 5’477 , 5’477 , 5’477 
 SE03 , SE03H2R1 , Solar , 6’313 , 6’313 , 6’313 ,,,
 SE03 , SE03H2R1 , Wind Onshore , 16’211 , 16’211 , 16’211 , 2’432 , 2’432 , 2’432 
 SE03 , SE03RETE , Solar , 10’097 , 10’097 , 10’097 , 3’771 , 3’771 , 3’771 
 SE04 , SE04 , Gas , 2’089 , 2’089 , 2’089 ,,,
 SE04 , SE04 , Hydro , 345 , 345 , 345 , 345 , 345 , 345 
 SE04 , SE04 , Solar , 595 , 595 , 595 , 416 , 416 , 416 
 SE04 , SE04 , Wind Onshore , 2’550 , 2’550 , 2’550 , 2’550 , 2’550 , 2’550 
 SE04 , SE04 , Other RES , 822 , 822 , 822 , 822 , 822 , 822 
 SE04 , SE04 , Wind Offshore , 1’814 , 1’814 , 1’814 , 1’563 , 1’563 , 1’563 
 SE04 , SE04H2R1 , Solar , 2’128 , 2’128 , 2’128 ,,,
 SE04 , SE04H2R1 , Wind Onshore , 5’128 , 5’128 , 5’128 , 4’217 , 4’217 , 4’217 
 SE04 , SE04RETE , Solar , 2’402 , 2’402 , 2’402 , 993 , 993 , 993 
 SI00 , SI00 , Gas , 445 , 445 , 445 , 445 , 445 , 445 
 SI00 , SI00 , Hydro , 1’880 , 1’880 , 1’880 , 1’880 , 1’880 , 1’880 
 SI00 , SI00 , Solar , 3’549 , 3’549 , 3’549 , 2’064 , 2’064 , 2’064 
 SI00 , SI00 , Wind Onshore , 258 , 258 , 258 , 258 , 258 , 258 
 SI00 , SI00 , Other Non RES , 190 , 190 , 190 , 190 , 190 , 190 
 SI00 , SI00 , Other RES , 101 , 101 , 101 , 101 , 101 , 101 
 SI00 , SI00 , Wind Offshore , 60 , 60 , 60 ,,,
 SI00 , SI00H2R1 , Solar , 1’425 , 1’425 , 1’425 , 1’786 , 1’786 , 1’786 
 SI00 , SI00H2R1 , Wind Onshore , 267 , 267 , 267 ,,,
 SI00 , SI00RETE , Solar , 3’718 , 3’718 , 3’718 , 3’046 , 3’046 , 3’046 
 SK00 , SK00 , Gas , 4’360 , 4’360 , 4’360 , 802 , 802 , 802 
 SK00 , SK00 , Hydro , 2’540 , 2’540 , 2’540 , 2’540 , 2’540 , 2’540 
 SK00 , SK00 , Solar , 680 , 680 , 680 , 476 , 476 , 476 
 SK00 , SK00 , Wind Onshore , 436 , 436 , 436 , 436 , 436 , 436 
 SK00 , SK00 , Other Non RES , 109 , 109 , 109 , 109 , 109 , 109 
 SK00 , SK00 , Other RES , 723 , 723 , 723 , 723 , 723 , 723 
 SK00 , SK00 , Nuclear , 1’334 , 1’334 , 1’334 , 3’122 , 3’122 , 3’122 
 SK00 , SK00H2R1 , Solar , 296 , 296 , 296 , 219 , 219 , 219 
 SK00 , SK00H2R1 , Wind Onshore , 228 , 228 , 228 , 22 , 22 , 22 
 SK00 , SK00RETE , Solar , 1’399 , 1’399 , 1’399 , 663 , 663 , 663 
 TR00 , TR00 , Gas , 59’665 , 59’665 , 59’665 , 59’742 , 59’742 , 59’742 
 TR00 , TR00 , Hydro , 39’956 , 39’956 , 39’956 , 39’956 , 39’956 , 39’956 
 TR00 , TR00 , Solar , 48’000 , 48’000 , 48’000 , 48’000 , 48’000 , 48’000 
 TR00 , TR00 , Wind Onshore , 52’488 , 52’488 , 52’488 , 52’488 , 52’488 , 52’488 
 TR00 , TR00 , Other Non RES , 2’000 , 2’000 , 2’000 , 2’000 , 2’000 , 2’000 
 TR00 , TR00 , Other RES , 5’150 , 5’150 , 5’150 , 5’150 , 5’150 , 5’150 
 TR00 , TR00 , Oil , 65 , 65 , 65 , 65 , 65 , 65 
 UA01 , UA01 , Gas , 799 , 799 , 799 , 118 , 118 , 118 
 UA01 , UA01 , Solar , 1’056 , 1’056 , 1’056 , 756 , 756 , 756 
 UA01 , UA01 , Wind Onshore , 1’422 , 1’422 , 1’422 , 324 , 324 , 324 
 UK00 , UK00 , Gas , 67’393 , 67’393 , 67’393 , 25’019 , 25’019 , 25’019 
 UK00 , UK00 , Hydro , 5’035 , 5’035 , 5’035 , 5’035 , 5’035 , 5’035 
 UK00 , UK00 , Solar , 20’798 , 20’798 , 20’798 , 11’758 , 11’758 , 11’758 
 UK00 , UK00 , Wind Onshore , 39’755 , 39’755 , 39’755 , 39’755 , 39’755 , 39’755 
 UK00 , UK00 , Other Non RES , 2’985 , 2’985 , 2’985 , 2’985 , 2’985 , 2’985 
 UK00 , UK00 , Other RES , 9’714 , 9’714 , 9’714 , 9’714 , 9’714 , 9’714 
 UK00 , UK00 , Oil , 71 , 71 , 71 , 71 , 71 , 71 
 UK00 , UK00 , Wind Offshore , 100’592 , 100’592 , 100’592 , 83’446 , 83’446 , 83’446 
 UK00 , UK00 , Nuclear , 5’570 , 5’570 , 5’570 , 16’008 , 16’008 , 16’008 
 UK00 , UK00H2R1 , Solar , 20’643 , 20’643 , 20’643 , 3’838 , 3’838 , 3’838 
 UK00 , UK00H2R1 , Wind Onshore , 19’685 , 19’685 , 19’685 , 5’087 , 5’087 , 5’087 
 UK00 , UK00H2R4 , Solar , 3’206 , 3’206 , 3’206 ,,,
 UK00 , UK00H2R4 , Wind Onshore , 1’547 , 1’547 , 1’547 ,,,
 UK00 , UK00H2R4 , Wind Offshore , 3’532 , 3’532 , 3’532 , 3’875 , 3’875 , 3’875 
 UK00 , UK00RETE , Solar , 72’740 , 72’740 , 72’740 , 46’875 , 46’875 , 46’875 
 UKNI , UKNI , Gas , 5’412 , 5’412 , 5’412 , 1’408 , 1’408 , 1’408 
 UKNI , UKNI , Hydro , 6 , 6 , 6 , 6 , 6 , 6 
 UKNI , UKNI , Solar , 213 , 213 , 213 , 149 , 149 , 149 
 UKNI , UKNI , Wind Onshore , 1’271 , 1’271 , 1’271 , 1’271 , 1’271 , 1’271 
 UKNI , UKNI , Other Non RES , 9 , 9 , 9 , 9 , 9 , 9 
 UKNI , UKNI , Other RES , 2’962 , 2’962 , 2’962 , 2’962 , 2’962 , 2’962 
 UKNI , UKNI , Oil , 389 , 389 , 389 , 389 , 389 , 389 
 UKNI , UKNI , Wind Offshore , 3’241 , 3’241 , 3’241 , 1’353 , 1’353 , 1’353 
 UKNI , UKNIH2R1 , Solar , 158 , 158 , 158 , 71 , 71 , 71 
 UKNI , UKNIH2R1 , Wind Onshore , 2’178 , 2’178 , 2’178 , 870 , 870 , 870 
 UKNI , UKNIH2R4 , Solar , 42 , 42 , 42 ,,,
 UKNI , UKNIH2R4 , Wind Onshore , 88 , 88 , 88 ,,,
 UKNI , UKNIH2R4 , Wind Offshore , 3 , 3 , 3 ,,,
 UKNI , UKNIHER4 , Solar , 222 , 222 , 222 ,,,
 UKNI , UKNIHER4 , Wind Onshore , 259 , 259 , 259 ,,,
 UKNI , UKNIHER4 , Wind Offshore , 77 , 77 , 77 , 64 , 64 , 64 
 UKNI , UKNIRETE , Solar , 189 , 189 , 189 , 87 , 87 , 87 
 AT00 , AT00H2C5 , Solar_stand alone ,,, 261 ,,,
 BE00 , BE00H2C5 , Solar_stand alone ,,, 3’556 ,,,
 BG00 , BG00H2C5 , Solar_stand alone ,,, 496 ,,,
 CY00 , CY00H2C5 , Onshore Wind_stand alone ,,, -   ,,, -   
 CY00 , CY00H2C5 , Solar_stand alone ,,, 76 ,,, 86 
 CZ00 , CZ00H2C5 , Solar_stand alone ,,, 2’077 ,,,
 DE00 , DE00H2C5 , Solar_stand alone ,,, 22’967 ,,,
 DKE1 , DKE1H2C5 , Solar_stand alone ,,, 1’927 ,,, 2’343 
 DKE1 , DKE1H2C5 , Offshore Wind_stand alone ,,, 44 ,,,
 EE00 , EE00H2C5 , Onshore Wind_stand alone ,,, 47 ,,, 53 
 EE00 , EE00H2C5 , Solar_stand alone ,,, 192 ,,, 214 
 ES00 , ES00H2C5 , Onshore Wind_stand alone ,,, 2’162 ,,, 8’528 
 FI00 , FI00H2C5 , Solar_stand alone ,,, 2’107 ,,, -   
 FI00 , FI00H2C5 , Offshore Wind_stand alone ,,, 414 ,,,
 FR00 , FR00H2C5 , Offshore Wind_stand alone ,,, 2’502 ,,,
 GR00 , GR00H2C5 , Solar_stand alone ,,, 1’150 ,,,
 HU00 , HU00H2C5 , Solar_stand alone ,,, 967 ,,,
 IE00 , IE00H2C5 , Solar_stand alone ,,, 964 ,,, -   
 IT00 , IT00H2C5 , Solar_stand alone ,,, 18’670 ,,,
 LT00 , LT00H2C5 , Solar_stand alone ,,, 511 ,,,
 LUG1 , LUG1H2C5 , Onshore Wind_stand alone ,,, 25 ,,, 22 
 LUG1 , LUG1H2C5 , Solar_stand alone ,,, 71 ,,, 95 
 LV00 , LV00H2C5 , Solar_stand alone ,,, 179 ,,,
 PL00 , PL00H2C5 , Solar_stand alone ,,, 1’341 ,,,
 RO00 , RO00H2C5 , Solar_stand alone ,,, 189 ,,,
 SE01 , SE01H2C5 , Solar_stand alone ,,, 2’634 ,,, -   
 SI00 , SI00H2C5 , Solar_stand alone ,,, 495 ,,,
 SK00 , SK00H2C5 , Solar_stand alone ,,, 15 ,,,
 UK00 , UK00H2C5 , Solar_stand alone ,,, -   ,,,
 UK00 , UK00H2C5 , Offshore Wind_stand alone ,,, -   ,,,
 BE00 , BE00H2R4 , Solar ,,,, 36 , 36 , 36 
 BE00 , BE00H2R4 , Wind Offshore ,,,, 95 , 95 , 95 
 BE00 , BE00HER4 , Solar ,,,, 142 , 142 , 142 
 BE00 , BE00HER4 , Wind Offshore ,,,, 380 , 380 , 380 
 BG00 , BG00 , Nuclear ,,,, 2’000 , 2’000 , 2’000 
 CZ00 , CZ00 , Nuclear ,,,, 3’278 , 3’278 , 3’278 
 DE00 , DE00HER4 , Wind Onshore ,,,, 891 , 891 , 891 
 DE00 , DE00HER4 , Wind Offshore ,,,, 2’932 , 2’932 , 2’932 
 DKE1 , DKE1HER4 , Wind Offshore ,,,, 1’035 , 1’035 , 1’035 
 DKW1 , DKW1HER4 , Wind Onshore ,,,, 186 , 186 , 186 
 DKW1 , DKW1HER4 , Wind Offshore ,,,, 2’054 , 2’054 , 2’054 
 ES00 , ES00H2R4 , Solar ,,,, 7’186 , 7’186 , 7’186 
 ES00 , ES00H2R4 , Wind Onshore ,,,, 1’931 , 1’931 , 1’931 
 ES00 , ES00H2R4 , Wind Offshore ,,,, 1’515 , 1’515 , 1’515 
 ES00 , ES00HER4 , Wind Offshore ,,,, 2’712 , 2’712 , 2’712 
 FI00 , FI00HER4 , Wind Onshore ,,,, 1’364 , 1’364 , 1’364 
 GR03 , GR03 , Wind Offshore ,,,, 111 , 111 , 111 
 HU00 , HU00 , Nuclear ,,,, 2’360 , 2’360 , 2’360 
 NL00 , NL00H2R4 , Wind Onshore ,,,, 540 , 540 , 540 
 NL00 , NL00HER4 , Wind Onshore ,,,, 601 , 601 , 601 
 NL00 , NL00HER4 , Wind Offshore ,,,, 1’162 , 1’162 , 1’162 
 PL00 , PL00 , Nuclear ,,,, 9’900 , 9’900 , 9’900 
 PL00 , PL00H2R4 , Solar ,,,, 537 , 537 , 537 
 PL00 , PL00H2R4 , Wind Onshore ,,,, 765 , 765 , 765 
 PL00 , PL00H2R4 , Wind Offshore ,,,, 914 , 914 , 914 
 PT00 , PT00H2R4 , Wind Offshore ,,,, 100 , 100 , 100 
 PT00 , PT00HER4 , Wind Offshore ,,,, 58 , 58 , 58 
 SE03 , SE03 , Nuclear ,,,, 3’567 , 3’567 , 3’567 
 SI00 , SI00 , Nuclear ,,,, 1’803 , 1’803 , 1’803 
 UA01 , UA01 , Hydro ,,,, 69 , 69 , 69 
 UK00 , UK00HER4 , Wind Offshore ,,,, 2’662 , 2’662 , 2’662 
 CZ00 , CZ00H2C5 , Onshore Wind_stand alone ,,,,,, 194 
 FI00 , FI00H2C5 , Onshore Wind_stand alone ,,,,,, 1’099 
 HR00 , HR00H2C5 , Onshore Wind_stand alone ,,,,,, 487 
 IE00 , IE00H2C5 , Onshore Wind_stand alone ,,,,,, 250 
 IT00 , IT00H2C5 , Onshore Wind_stand alone ,,,,,, 7’471 
 LT00 , LT00H2C5 , Onshore Wind_stand alone ,,,,,, 207 
 LV00 , LV00H2C5 , Onshore Wind_stand alone ,,,,,, -   
 PT00 , PT00H2C5 , Onshore Wind_stand alone ,,,,,, -   
 SE01 , SE01H2C5 , Onshore Wind_stand alone ,,,,,, 858 
 SI00 , SI00H2C5 , Onshore Wind_stand alone ,,,,,, 462 
 SK00 , SK00H2C5 , Onshore Wind_stand alone ,,,,,, 211 
