node,nodeline,fuel,generation
AL00,AL00,Gas,729.58170296
AL00,AL00,Hydro,13298.32062115
AL00,AL00,Solar,2143.13581531
AL00,AL00,Wind Onshore,4838.98608121
AT00,AT00,Hydro,53042.99505847
AT00,AT00,Solar,13196.23563571
AT00,AT00,Wind Onshore,33486.42647301
AT00,AT00,Other Non RES,8304.49457848
AT00,AT00,Other RES,3266.71325199
AT00,AT00H2R1,Solar,14531.2911579
AT00,AT00H2R1,Wind Onshore,26485.73000139
AT00,AT00RETE,Solar,27346.35860362
BA00,BA00,Hydro,6128.83994306
BA00,BA00,Solar,3924.12258339
BA00,BA00,Wind Onshore,5664.31673605
BE00,BE00,Gas,19037.754048420004
BE00,BE00,Hydro,986.5454208199999
BE00,BE00,Solar,6716.25191954
BE00,BE00,Wind Onshore,14479.33128675
BE00,BE00,Other Non RES,1698.68536962
BE00,BE00,Other RES,2248.45832263
BE00,BE00,Oil,8.42
BE00,BE00,Wind Offshore,25295.36987668
BE00,BE00,Biofuels,1328.72785787
BE00,BE00H2R1,Solar,3784.60634772
BE00,BE00H2R1,Wind Onshore,12566.90067476
BE00,BE00RETE,Solar,18605.38384264
BG00,BG00,Gas,3469.24296817
BG00,BG00,Hydro,4845.65769551
BG00,BG00,Solar,1776.60469921
BG00,BG00,Wind Onshore,1594.63152303
BG00,BG00,Other RES,1190.89405664
BG00,BG00,Wind Offshore,1780.47441348
BG00,BG00,Nuclear,16439.15972289
BG00,BG00H2R1,Solar,6898.68607895
BG00,BG00H2R1,Wind Onshore,13951.14746398
BG00,BG00RETE,Solar,8440.7316275
CH00,CH00,Hydro,38754.50710395
CH00,CH00,Wind Onshore,969.10265559
CH00,CH00,Other Non RES,999.99999976
CH00,CH00,Other RES,8736
CY00,CY00,Gas,1043.8389554
CY00,CY00,Solar,3336.98109648
CY00,CY00,Wind Onshore,581.97218011
CY00,CY00,Other RES,61.7758986
CY00,CY00RETE,Solar,85.55658155
CZ00,CZ00,Gas,6683.38193457
CZ00,CZ00,Hydro,3090.9486815
CZ00,CZ00,Solar,4620.86869888
CZ00,CZ00,Wind Onshore,8181.96934372
CZ00,CZ00,Other Non RES,5529.69670178
CZ00,CZ00,Other RES,4353.65871331
CZ00,CZ00,Nuclear,19583.94594211
CZ00,CZ00H2R1,Solar,11489.84761863
CZ00,CZ00H2R1,Wind Onshore,26756.62733691
CZ00,CZ00RETE,Solar,3336.72913676
DE00,DE00,Gas,52209.47422953002
DE00,DE00,Hydro,32238.62256845
DE00,DE00,Solar,61702.33619537
DE00,DE00,Wind Onshore,147251.75456561
DE00,DE00,Other Non RES,50503.61880481
DE00,DE00,Other RES,49390.85108171
DE00,DE00,Oil,0.33555667
DE00,DE00,Wind Offshore,284740.98926161
DE00,DE00H2R1,Wind Onshore,186972.87216048
DE00,DE00H2R4,Wind Onshore,3042.07996302
DE00,DE00H2R4,Wind Offshore,14262.82619118
DE00,DE00HER4,Wind Onshore,2883.99232129
DE00,DE00HER4,Wind Offshore,12801.40263105
DE00,DE00RETE,Solar,74548.17342906
DKE1,DKE1,Gas,20.674187919999998
DKE1,DKE1,Solar,1735.09512113
DKE1,DKE1,Wind Onshore,6229.26079366
DKE1,DKE1,Other Non RES,45.98623492
DKE1,DKE1,Other RES,64.95821208000001
DKE1,DKE1,Oil,1.53864
DKE1,DKE1,Wind Offshore,25383.90989691
DKE1,DKE1,Biofuels,1374.04257619
DKE1,DKE1H2R1,Solar,30.50135421
DKE1,DKE1H2R1,Wind Onshore,105.94688603
DKE1,DKE1H2R4,Wind Offshore,5326.85886837
DKE1,DKE1HER4,Wind Offshore,4031.95221551
DKE1,DKE1RETE,Solar,2517.46128493
DKW1,DKW1,Gas,75.99448
DKW1,DKW1,Solar,2671.45791392
DKW1,DKW1,Wind Onshore,6350.63853945
DKW1,DKW1,Other Non RES,127.6850157
DKW1,DKW1,Other RES,394.96928841000005
DKW1,DKW1,Oil,2.72561548
DKW1,DKW1,Wind Offshore,104215.14924801
DKW1,DKW1,Biofuels,1290.0695769499998
DKW1,DKW1H2R1,Solar,728.03996692
DKW1,DKW1H2R1,Wind Onshore,2799.94630522
